,user,age,dominant_hand,shape,hand_used,acc_x-std,acc_y-std,acc_z-std,g-force_x-std,g-force_y-std,g-force_z-std,acc_x-peaks,acc_y-peaks,acc_z-peaks,g-force_x-peaks,g-force_y-peaks,g-force_z-peaks
0,user1,22,R,V,L,0.028293699937828824,0.0478536758573375,0.023848808231734842,0.29552089397967923,0.511106046669355,0.21933037323855603,6,2,6,6,3,0
1,user1,22,R,S,L,0.04505821628509677,0.02388587772855352,0.026648560017269753,0.5757741748720115,0.3134304391938764,0.2583531762334902,5,3,8,9,6,0
2,user1,22,R,S,L,0.06392771842998587,0.03544517928065577,0.046920171365864786,0.842967912824386,0.4522946363802278,0.44813984072753,1,3,8,3,1,0
3,user1,22,R,O,L,0.030517223161400764,0.031847904589453004,0.023712438125655676,0.44433196440092715,0.3599608795613552,0.22503796526120867,8,5,16,9,5,0
4,user1,22,R,O,L,0.04193873030790888,0.038633681709701065,0.0279179087155867,0.5201923509507691,0.4005908888566297,0.2687253128692366,6,4,9,7,7,0
5,user1,22,R,V,L,0.03062327137060191,0.04081282261632057,0.026184880123440932,0.2933526755289573,0.5088031324447908,0.24087665523464932,5,3,7,7,5,0
6,user1,22,R,O,L,0.04945537250239057,0.03514659177168202,0.03532123515882775,0.6374959408984214,0.567374305661651,0.3350685619040834,6,4,9,4,8,0
7,user2,56,R,V,L,0.0844061256619067,0.05970509590768032,0.0482850428696924,0.4295239679923901,0.9062195257506654,0.49643104280090944,9,2,5,4,7,0
8,user2,56,R,S,L,0.07819235445060192,0.055266028052666,0.05544239572907737,1.0727060475311974,0.5527720203954544,0.5309064037708504,8,6,7,2,4,0
9,user2,56,R,S,L,0.07913501929672168,0.04009801498962988,0.04633570061968324,0.9467040946057804,0.44126291826034314,0.46659343787251045,7,6,11,6,6,0
10,user2,56,R,O,L,0.05094078796151525,0.03701157245864405,0.04164700236435784,0.5963682782138076,0.45080480441839643,0.3801717084648446,9,10,9,13,12,0
11,user2,56,R,O,L,0.05073241611779927,0.04168055332279197,0.03822156252688582,0.6082173314023811,0.49220804270306834,0.3474377865195021,10,10,10,9,10,0
12,user2,56,R,V,L,0.03970215036353317,0.05159079944311864,0.049088359616292335,0.4038822081466582,0.7301937963473422,0.4623295037742803,5,3,7,14,5,0
13,user2,56,R,O,L,0.04600077900522368,0.048767913525602044,0.04048106151536829,0.5467763823216067,0.4673822467208889,0.3779728275144243,12,10,18,22,15,0
14,user2,56,R,V,L,0.04901499909225943,0.06965212480639293,0.05013949789302952,0.44899837516723695,0.9425494561724429,0.4875166400997381,6,3,8,10,7,0
15,user2,56,R,V,L,0.056312135502801786,0.074861049810806,0.05374884521790777,0.5262546909685183,0.9668266598228034,0.5502820825331559,8,4,7,14,3,0
16,user2,56,R,S,L,0.07445763886124916,0.03922353393312187,0.045924991084218256,0.9638065327471229,0.474663777238373,0.43864063816988286,3,7,8,4,10,0
17,user2,56,R,V,L,0.05916247254273261,0.06859164374905151,0.06227539099409516,0.4854494662492597,0.9063714220362279,0.6247307342159261,11,2,7,12,7,0
18,user2,56,R,O,L,0.07321301191990777,0.04088497698080281,0.04943550155248078,0.797081603996665,0.5356266493172789,0.46992375443983153,5,4,14,9,8,0
19,user2,56,R,S,L,0.08909358132811733,0.04334845626411375,0.044749292957994145,1.033688748821821,0.5150144248755316,0.4395681919098002,3,6,9,3,4,0
20,user2,56,R,O,L,0.045861584349643346,0.05589829063792391,0.04244640377355199,0.49255890254571644,0.43990499628416624,0.39061228172247847,9,8,23,7,7,0
21,user2,56,R,V,L,0.04210812631215068,0.06036087772111577,0.045820678880724615,0.4263902760409194,0.804013094060967,0.44211290522653696,12,3,10,8,4,0
22,user2,56,R,S,L,0.081602554144499,0.04941627313304075,0.05177194303805912,0.9493573485422981,0.4970165571112142,0.5136940416518397,9,4,12,6,3,0
23,user2,56,R,S,L,0.08090916893412951,0.055121542345935096,0.04195124826708719,1.0276245093205245,0.4676835051756997,0.3939787496999227,7,5,8,5,8,0
24,user2,56,R,S,L,0.06378261999807759,0.04263725509902541,0.04457999013422627,0.7993432288879851,0.4258416845875476,0.4305314695719302,3,8,12,8,7,0
25,user2,56,R,V,L,0.04975851893009463,0.0724612520196419,0.046771672843727095,0.5018326097166659,1.0124990515602605,0.48390797842473476,12,4,7,7,3,0
26,user2,56,R,O,L,0.04197982501610343,0.03411046237897955,0.03736850210105936,0.49349673700609376,0.4127485077386483,0.3409817953938702,8,11,14,19,8,0
27,user2,56,R,O,L,0.0635244561029839,0.037493125008883174,0.03140682821848513,0.6433646441199269,0.4832457589191952,0.2862372602414408,5,9,15,13,0,0
28,user2,56,R,O,L,0.04084073180267538,0.03822203904186107,0.03584099282270325,0.558445814804733,0.4266659399096146,0.3216961172742449,12,9,17,19,10,0
29,user2,56,R,S,L,0.09134328623966008,0.03804210714697567,0.045783872352524145,1.0362674349605512,0.4433642232722781,0.4404759948071343,7,4,6,6,14,0
30,user2,56,R,V,L,0.047544017883256975,0.06254480443304515,0.053142588421144096,0.44499840199691226,0.8742567368258659,0.5178875272196974,6,3,6,13,8,0
31,user2,56,R,S,L,0.07515334600098438,0.05322149594489293,0.04887958171521364,1.0171943494787317,0.48442220968549093,0.49112940661983917,5,8,11,9,5,0
32,user2,56,R,V,L,0.04656560580002262,0.08148674273008503,0.0408452416737093,0.38811213403301975,0.9525529629921509,0.38863355276575123,9,2,10,9,2,0
33,user2,56,R,O,L,0.05701136529478672,0.031185397598811514,0.04773607123906794,0.6387190333970145,0.4529141060109383,0.4390527814381027,10,7,18,11,5,0
34,user2,56,R,S,L,0.08700907069024562,0.05106950791598568,0.045767674100796366,0.9667300119971429,0.502258152827982,0.4213701134063538,4,6,12,4,11,0
35,user2,56,R,O,L,0.04195051593594441,0.026488466390144752,0.04404558135250864,0.48780948262128676,0.38755745813131537,0.4263697964591655,12,8,15,19,20,0
36,user2,56,R,V,L,0.05929853863316305,0.05886050849675645,0.04786829635654483,0.5668060442708429,0.8361621111039628,0.4577687701948444,2,2,7,7,5,0
37,user2,56,R,V,R,0.07906461189667928,0.0806627707994042,0.05673259099412091,0.6460582206181056,0.9710927643725149,0.5658360753116677,3,1,5,1,5,0
38,user2,56,R,S,R,0.11037785368625219,0.06852974852886204,0.03840788932356355,1.1868027583444924,0.533567120049382,0.3346664717427483,8,2,10,6,3,0
39,user2,56,R,S,R,0.1312245011429015,0.07058950837681416,0.04154044299646679,1.3816218151855986,0.5061742137286164,0.40426303541242065,5,6,12,8,10,0
40,user2,56,R,O,R,0.06792945284250487,0.054149485559075394,0.042419640710791316,0.764691235679253,0.6756102071304818,0.39854692760155375,5,3,4,11,9,0
41,user2,56,R,O,R,0.06712422565246397,0.03561346164209037,0.04614831029711084,0.5722966818637912,0.5169056157881148,0.4248232286710363,8,7,8,4,10,0
42,user2,56,R,V,R,0.0779709099066678,0.08234282331634522,0.06784436807643378,0.7952588273950673,0.9754564239936099,0.6751067219289603,3,1,3,3,2,0
43,user2,56,R,O,R,0.06913080960502692,0.05516661285046018,0.039315976159773856,0.8439622853578505,0.7156357308317467,0.3827781406887602,7,9,10,7,10,0
44,user2,56,R,V,R,0.07505287991996827,0.06136336039204767,0.04340120108662537,0.5726901738884851,0.7446807760697455,0.40662122500537057,3,1,5,8,9,0
45,user2,56,R,V,R,0.07273463474617631,0.08077545150739944,0.03864709306879005,0.54996303222298,0.8223383243473855,0.3654300921865302,4,1,8,6,2,0
46,user2,56,R,S,R,0.11682992111305156,0.07943410793465912,0.04826806329499692,1.3168165102601346,0.6368686098665267,0.44833424315957116,4,5,6,6,4,0
47,user2,56,R,V,R,0.07194248590658499,0.07936045658944027,0.05245759755749118,0.6751517070114065,0.9329676309668492,0.4956870080928663,4,2,4,2,6,0
48,user2,56,R,O,R,0.07634613291275845,0.0527743737444938,0.0329222283385296,0.6905130046714928,0.5808169883027788,0.30430991099893817,8,3,11,7,16,0
49,user2,56,R,S,R,0.11920891744209122,0.06496696522371001,0.03621657632936547,1.2180584039941371,0.5305983750617123,0.3453421702623444,4,3,12,1,4,0
50,user2,56,R,O,R,0.06917785207845784,0.05635935754430241,0.03465634059632156,0.7715814878196403,0.7443610288265384,0.33808655133649157,5,5,11,9,7,0
51,user2,56,R,V,R,0.07097778863696073,0.07382415674707049,0.043845426642890685,0.5566728113295217,0.8132981847101621,0.4193901957034052,7,1,7,0,3,0
52,user2,56,R,S,R,0.12025929980602612,0.06191033658278077,0.04057948217998638,1.3605532499549564,0.5317566986119056,0.39350142489118417,8,8,12,6,12,0
53,user2,56,R,S,R,0.10629809530893708,0.06662501761397503,0.03903056896290606,1.3429368420988748,0.5224011695958971,0.3728743461190072,5,4,4,6,8,0
54,user2,56,R,S,R,0.10705188767995852,0.07074275377960211,0.03897517827907647,1.2550049045478608,0.5789366558069627,0.3955145521673493,2,3,5,2,4,0
55,user2,56,R,V,R,0.06898777826471025,0.09603625138255986,0.05727974357654114,0.6922337753723804,1.064570490565953,0.5630206560336289,2,0,5,0,1,0
56,user2,56,R,O,R,0.058489631821976924,0.05398665013821969,0.041543949483555984,0.6613779892963485,0.5412050471013848,0.39287964430131267,5,6,10,10,10,0
57,user2,56,R,O,R,0.05159934350016672,0.04922774901767068,0.03388995939193671,0.622760737385082,0.5377392093634357,0.32835955410529877,5,5,13,17,7,0
58,user2,56,R,O,R,0.07010521011221597,0.05347865752253982,0.03551670992286718,0.6871086837906409,0.6586038652700217,0.329073539378445,6,2,8,13,6,0
59,user2,56,R,S,R,0.13107517532896293,0.0747714587627652,0.04471870457491761,1.4769269569350436,0.6680415871517684,0.42011265554004634,3,4,5,5,4,0
60,user2,56,R,S,R,0.09871335602889056,0.07065521512545599,0.04650804605043267,1.1023645615827316,0.5424660112959674,0.43998299819416514,7,8,11,8,6,0
61,user2,56,R,V,R,0.06440564837674129,0.07006512426140521,0.05266808987880498,0.5981955455229216,0.8217507016031522,0.507983288534235,2,2,4,2,6,0
62,user2,56,R,O,R,0.06436891819811129,0.06724364145420884,0.03952494304105532,0.7451916589286866,0.755781287924173,0.3959658916365303,7,4,4,11,9,0
