
time,ax,ay,az,gFx,gFy,gFz,
0.0,-0.03,0.12,0.28,0.06,0.10,0.95,
0.0,-0.08,0.10,0.01,0.06,0.10,0.95,
0.001,-0.08,0.10,0.01,0.06,0.10,0.94,
0.003,-0.08,0.10,0.01,0.07,0.10,0.93,
0.003,-0.04,0.04,-0.23,0.07,0.10,0.93,
0.005,-0.04,0.04,-0.23,0.07,0.10,0.92,
0.007,-0.04,0.04,-0.23,0.07,0.10,0.92,
0.008,0.01,0.01,-0.45,0.07,0.10,0.92,
0.01,0.01,0.01,-0.45,0.07,0.10,0.91,
0.014,0.08,-0.01,-0.56,0.07,0.10,0.91,
0.014,0.08,-0.01,-0.56,0.08,0.10,0.91,
0.015,0.08,-0.01,-0.56,0.08,0.10,0.91,
0.017,0.08,-0.01,-0.56,0.09,0.11,0.91,
0.017,0.14,0.01,-0.65,0.09,0.11,0.91,
0.02,0.14,0.01,-0.65,0.09,0.11,0.91,
0.022,0.14,0.01,-0.65,0.09,0.11,0.91,
0.022,0.20,0.06,-0.68,0.09,0.11,0.91,
0.025,0.20,0.06,-0.68,0.10,0.11,0.92,
0.027,0.20,0.06,-0.68,0.10,0.12,0.92,
0.028,0.27,0.12,-0.64,0.10,0.12,0.92,
0.03,0.27,0.12,-0.64,0.10,0.12,0.92,
0.032,0.27,0.12,-0.64,0.10,0.12,0.93,
0.032,0.31,0.17,-0.57,0.10,0.12,0.93,
0.034,0.31,0.17,-0.57,0.11,0.12,0.93,
0.037,0.31,0.17,-0.57,0.11,0.12,0.94,
0.037,0.38,0.20,-0.49,0.11,0.12,0.94,
0.039,0.38,0.20,-0.49,0.11,0.12,0.95,
0.042,0.38,0.20,-0.49,0.11,0.12,0.95,
0.042,0.44,0.23,-0.39,0.11,0.12,0.95,
0.044,0.44,0.23,-0.39,0.11,0.12,0.96,
0.047,0.44,0.23,-0.39,0.11,0.12,0.96,
0.047,0.45,0.26,-0.26,0.11,0.12,0.96,
