
time,ax,ay,az,gFx,gFy,gFz,
0.002,-0.02,-0.05,0.14,-0.01,0.09,0.99,
0.002,-0.02,-0.05,0.14,-0.01,0.09,0.99,
0.002,-0.02,-0.04,0.13,-0.01,0.09,0.99,
0.002,-0.02,-0.04,0.13,-0.01,0.09,0.99,
0.004,-0.02,-0.04,0.13,-0.01,0.09,0.99,
0.004,-0.02,-0.04,0.10,-0.01,0.09,0.99,
0.006,-0.02,-0.04,0.10,-0.01,0.09,0.98,
0.009,-0.02,-0.04,0.10,-0.01,0.10,0.98,
0.009,-0.03,-0.03,0.10,-0.01,0.10,0.98,
0.019,-0.03,-0.03,0.10,-0.02,0.09,0.98,
0.019,-0.03,-0.03,0.10,-0.02,0.10,0.98,
0.019,-0.04,-0.01,0.06,-0.02,0.10,0.98,
0.02,-0.04,-0.01,0.06,-0.01,0.10,0.98,
0.02,-0.04,-0.01,0.06,-0.02,0.10,0.98,
0.02,-0.05,-0.01,0.04,-0.02,0.10,0.98,
0.021,-0.05,-0.01,0.04,-0.02,0.10,0.98,
0.023,-0.05,-0.01,0.04,-0.02,0.10,0.98,
0.024,-0.05,0.01,0.03,-0.02,0.10,0.98,
0.026,-0.05,0.01,0.03,-0.02,0.10,0.98,
0.029,-0.05,0.01,0.03,-0.02,0.10,0.98,
0.029,-0.06,0.03,0.03,-0.02,0.10,0.98,
0.031,-0.06,0.03,0.03,-0.02,0.10,0.98,
0.033,-0.06,0.03,0.03,-0.02,0.10,0.98,
0.033,-0.06,0.02,0.01,-0.02,0.10,0.98,
0.036,-0.06,0.02,0.01,-0.02,0.10,0.98,
0.038,-0.06,0.02,0.01,-0.02,0.10,0.98,
0.038,-0.07,0.01,0.00,-0.02,0.10,0.98,
0.041,-0.07,0.01,0.00,-0.02,0.10,0.98,
0.043,-0.07,0.01,0.00,-0.02,0.10,0.98,
0.043,-0.09,0.02,-0.01,-0.02,0.10,0.98,
0.045,-0.09,0.02,-0.01,-0.02,0.10,0.97,
0.048,-0.09,0.02,-0.01,-0.02,0.10,0.97,
0.049,-0.08,0.02,-0.03,-0.02,0.10,0.97,
0.05,-0.08,0.02,-0.03,-0.02,0.10,0.97,
0.053,-0.08,0.02,-0.03,-0.02,0.10,0.97,
0.053,-0.07,0.03,-0.04,-0.02,0.10,0.97,
0.055,-0.07,0.03,-0.04,-0.02,0.10,0.97,
0.058,-0.07,0.03,-0.04,-0.01,0.10,0.97,
0.058,-0.06,0.02,-0.05,-0.01,0.10,0.97,
0.06,-0.06,0.02,-0.05,-0.02,0.10,0.97,
0.063,-0.06,0.02,-0.05,-0.02,0.10,0.97,
0.063,-0.04,0.02,-0.06,-0.02,0.10,0.97,
0.065,-0.04,0.02,-0.06,-0.02,0.10,0.97,
0.068,-0.04,0.02,-0.06,-0.02,0.10,0.97,
0.068,-0.05,0.02,-0.06,-0.02,0.10,0.97,
0.07,-0.05,0.02,-0.06,-0.02,0.10,0.97,
0.072,-0.05,0.02,-0.06,-0.02,0.10,0.97,
0.073,-0.06,0.02,-0.07,-0.02,0.10,0.97,
0.075,-0.06,0.02,-0.07,-0.02,0.10,0.97,
0.077,-0.06,0.02,-0.07,-0.02,0.10,0.97,
0.077,-0.06,0.02,-0.07,-0.02,0.10,0.97,
0.08,-0.06,0.02,-0.07,-0.02,0.10,0.97,
0.082,-0.06,0.02,-0.07,-0.02,0.10,0.97,
0.083,-0.05,0.04,-0.07,-0.02,0.10,0.97,
0.085,-0.05,0.04,-0.07,-0.02,0.10,0.97,
0.087,-0.05,0.04,-0.07,-0.02,0.10,0.97,
0.088,-0.08,0.05,-0.07,-0.02,0.10,0.97,
0.089,-0.08,0.05,-0.07,-0.02,0.11,0.97,
0.092,-0.08,0.05,-0.07,-0.02,0.11,0.97,
0.092,-0.06,0.05,-0.09,-0.02,0.11,0.97,
0.095,-0.06,0.05,-0.09,-0.02,0.11,0.96,
0.097,-0.06,0.05,-0.09,-0.02,0.11,0.96,
0.097,-0.06,0.08,-0.12,-0.02,0.11,0.96,
0.099,-0.06,0.08,-0.12,-0.02,0.11,0.96,
0.102,-0.06,0.08,-0.12,-0.01,0.11,0.96,
0.102,-0.06,0.09,-0.14,-0.01,0.11,0.96,
0.104,-0.06,0.09,-0.14,-0.01,0.11,0.96,
0.107,-0.06,0.09,-0.14,-0.01,0.11,0.96,
0.107,-0.05,0.11,-0.14,-0.01,0.11,0.96,
0.109,-0.05,0.11,-0.14,-0.01,0.11,0.96,
0.112,-0.05,0.11,-0.14,-0.01,0.11,0.96,
0.112,-0.02,0.13,-0.15,-0.01,0.11,0.96,
0.114,-0.02,0.13,-0.15,-0.01,0.11,0.96,
0.117,-0.02,0.13,-0.15,-0.01,0.11,0.96,
0.117,-0.00,0.11,-0.15,-0.01,0.11,0.96,
0.119,-0.00,0.11,-0.15,-0.01,0.11,0.96,
0.121,-0.00,0.11,-0.15,-0.01,0.10,0.96,
0.122,0.02,0.10,-0.13,-0.01,0.10,0.96,
0.124,0.02,0.10,-0.13,-0.01,0.10,0.96,
0.126,0.02,0.10,-0.13,-0.01,0.10,0.96,
0.126,0.04,0.07,-0.14,-0.01,0.10,0.96,
0.136,0.04,0.07,-0.14,-0.00,0.10,0.97,
0.136,0.04,0.07,-0.14,-0.00,0.10,0.97,
0.137,0.05,0.04,-0.14,-0.00,0.10,0.97,
0.137,0.05,0.04,-0.14,-0.00,0.10,0.97,
0.137,0.05,0.04,-0.14,-0.00,0.10,0.97,
0.137,0.10,0.04,-0.09,-0.00,0.10,0.97,
0.139,0.10,0.04,-0.09,-0.00,0.10,0.97,
0.141,0.10,0.04,-0.09,0.00,0.10,0.98,
0.141,0.10,0.03,-0.06,0.00,0.10,0.98,
0.144,0.10,0.03,-0.06,0.00,0.10,0.98,
0.146,0.10,0.03,-0.06,-0.00,0.09,0.98,
0.147,0.12,-0.00,-0.03,-0.00,0.09,0.98,
0.148,0.12,-0.00,-0.03,0.00,0.09,0.98,
0.151,0.12,-0.00,-0.03,-0.00,0.09,0.98,
