
time,ax,ay,az,gFx,gFy,gFz,
0.002,0.04,-0.03,0.27,-0.03,0.09,0.96,
0.002,0.03,0.01,0.06,-0.03,0.09,0.96,
0.002,0.03,0.01,0.06,-0.04,0.09,0.96,
0.003,0.03,0.01,0.06,-0.04,0.09,0.95,
0.003,-0.02,0.02,-0.12,-0.04,0.09,0.95,
0.003,-0.02,0.02,-0.12,-0.04,0.10,0.95,
0.005,-0.02,0.02,-0.12,-0.04,0.10,0.95,
0.005,-0.07,0.01,-0.24,-0.04,0.10,0.95,
0.007,-0.07,0.01,-0.24,-0.05,0.10,0.94,
0.01,-0.07,0.01,-0.24,-0.05,0.10,0.94,
0.01,-0.13,0.03,-0.32,-0.05,0.10,0.94,
0.014,-0.13,0.03,-0.32,-0.05,0.10,0.95,
0.015,-0.13,0.03,-0.32,-0.05,0.10,0.95,
0.015,-0.18,0.08,-0.34,-0.05,0.10,0.95,
0.017,-0.18,0.08,-0.34,-0.05,0.11,0.95,
0.02,-0.18,0.08,-0.34,-0.05,0.11,0.96,
0.02,-0.19,0.10,-0.31,-0.05,0.11,0.96,
0.022,-0.19,0.10,-0.31,-0.05,0.11,0.96,
0.025,-0.19,0.10,-0.31,-0.05,0.11,0.97,
0.025,-0.19,0.14,-0.25,-0.05,0.11,0.97,
0.027,-0.19,0.14,-0.25,-0.06,0.10,0.97,
0.03,-0.19,0.14,-0.25,-0.06,0.10,0.97,
0.03,-0.21,0.15,-0.15,-0.06,0.10,0.97,
0.032,-0.21,0.15,-0.15,-0.06,0.10,0.98,
0.034,-0.21,0.15,-0.15,-0.05,0.10,0.98,
0.035,-0.23,0.13,-0.07,-0.05,0.10,0.98,
0.037,-0.23,0.13,-0.07,-0.05,0.10,0.99,
0.039,-0.23,0.13,-0.07,-0.05,0.10,0.99,
0.039,-0.21,0.13,0.01,-0.05,0.10,0.99,
0.041,-0.21,0.13,0.01,-0.05,0.10,0.99,
0.044,-0.21,0.13,0.01,-0.05,0.10,0.99,
0.044,-0.19,0.12,0.08,-0.05,0.10,0.99,
0.046,-0.19,0.12,0.08,-0.05,0.10,0.99,
0.049,-0.19,0.12,0.08,-0.04,0.10,0.99,
0.049,-0.17,0.10,0.11,-0.04,0.10,0.99,
0.051,-0.17,0.10,0.11,-0.04,0.10,0.99,
0.054,-0.17,0.10,0.11,-0.04,0.10,0.99,
0.054,-0.12,0.11,0.13,-0.04,0.10,0.99,
0.057,-0.12,0.11,0.13,-0.04,0.10,0.99,
0.059,-0.12,0.11,0.13,-0.03,0.10,0.99,
0.059,-0.08,0.12,0.13,-0.03,0.10,0.99,
0.061,-0.08,0.12,0.13,-0.03,0.10,0.99,
0.066,-0.08,0.12,0.13,-0.03,0.10,0.99,
0.067,-0.03,0.12,0.11,-0.03,0.10,0.99,
0.067,-0.03,0.12,0.11,-0.03,0.10,0.98,
0.069,-0.03,0.12,0.11,-0.03,0.10,0.98,
0.069,0.02,0.12,0.07,-0.03,0.10,0.98,
0.071,0.02,0.12,0.07,-0.02,0.10,0.98,
0.073,0.02,0.12,0.07,-0.02,0.10,0.98,
0.074,0.05,0.12,0.04,-0.02,0.10,0.98,
0.077,0.05,0.12,0.04,-0.03,0.10,0.98,
0.078,0.05,0.12,0.04,-0.03,0.10,0.98,
0.078,0.07,0.13,-0.01,-0.03,0.10,0.98,
0.081,0.07,0.13,-0.01,-0.03,0.10,0.98,
0.083,0.07,0.13,-0.01,-0.03,0.10,0.98,
0.084,0.05,0.14,-0.02,-0.03,0.10,0.98,
0.086,0.05,0.14,-0.02,-0.03,0.10,0.98,
0.089,0.05,0.14,-0.02,-0.03,0.10,0.97,
0.089,0.04,0.15,-0.03,-0.03,0.10,0.97,
0.091,0.04,0.15,-0.03,-0.03,0.10,0.97,
0.093,0.04,0.15,-0.03,-0.03,0.10,0.97,
0.093,0.04,0.14,-0.04,-0.03,0.10,0.97,
0.097,0.04,0.14,-0.04,-0.03,0.10,0.97,
0.098,0.04,0.14,-0.04,-0.03,0.10,0.97,
0.098,0.03,0.14,-0.07,-0.03,0.10,0.97,
0.101,0.03,0.14,-0.07,-0.03,0.10,0.97,
0.103,0.03,0.14,-0.07,-0.02,0.10,0.97,
0.103,0.04,0.15,-0.11,-0.02,0.10,0.97,
0.105,0.04,0.15,-0.11,-0.02,0.10,0.97,
0.108,0.04,0.15,-0.11,-0.02,0.10,0.97,
0.108,0.05,0.14,-0.11,-0.02,0.10,0.97,
0.11,0.05,0.14,-0.11,-0.02,0.10,0.96,
0.113,0.05,0.14,-0.11,-0.02,0.10,0.96,
0.113,0.08,0.14,-0.12,-0.02,0.10,0.96,
0.117,0.08,0.14,-0.12,-0.02,0.10,0.96,
0.118,0.08,0.14,-0.12,-0.02,0.10,0.96,
0.118,0.08,0.14,-0.15,-0.02,0.10,0.96,
0.12,0.08,0.14,-0.15,-0.02,0.10,0.96,
0.123,0.08,0.14,-0.15,-0.02,0.10,0.96,
0.123,0.08,0.14,-0.16,-0.02,0.10,0.96,
0.125,0.08,0.14,-0.16,-0.02,0.10,0.96,
0.128,0.08,0.14,-0.16,-0.02,0.10,0.97,
0.128,0.10,0.14,-0.14,-0.02,0.10,0.97,
0.13,0.10,0.14,-0.14,-0.02,0.10,0.97,
0.132,0.10,0.14,-0.14,-0.02,0.10,0.97,
0.132,0.13,0.14,-0.13,-0.02,0.10,0.97,
0.135,0.13,0.14,-0.13,-0.02,0.10,0.97,
0.138,0.13,0.13,-0.09,-0.02,0.10,0.97,
0.138,0.13,0.13,-0.09,-0.02,0.10,0.97,
0.14,0.13,0.13,-0.09,-0.02,0.10,0.97,
0.142,0.13,0.13,-0.09,-0.02,0.10,0.98,
0.142,0.13,0.11,-0.06,-0.02,0.10,0.98,
0.144,0.13,0.11,-0.06,-0.02,0.10,0.98,
