
time,ax,ay,az,gFx,gFy,gFz,
0.002,0.04,-0.15,0.49,0.06,0.05,1.00,
0.002,-0.05,-0.12,0.37,0.06,0.05,1.00,
0.003,-0.05,-0.12,0.37,0.05,0.05,1.00,
0.003,-0.05,-0.12,0.37,0.05,0.05,1.00,
0.003,-0.12,-0.12,0.26,0.05,0.05,1.00,
0.003,-0.12,-0.12,0.26,0.05,0.05,0.99,
0.003,-0.12,-0.12,0.26,0.05,0.06,0.99,
0.004,-0.12,-0.10,0.17,0.05,0.06,0.99,
0.004,-0.12,-0.10,0.17,0.05,0.05,0.98,
0.006,-0.12,-0.10,0.17,0.05,0.05,0.97,
0.006,-0.15,-0.09,0.08,0.05,0.05,0.97,
0.009,-0.15,-0.09,0.08,0.05,0.05,0.97,
0.011,-0.15,-0.09,0.08,0.05,0.06,0.96,
0.011,-0.15,-0.10,-0.05,0.05,0.06,0.96,
0.013,-0.15,-0.10,-0.05,0.05,0.06,0.96,
0.016,-0.15,-0.10,-0.05,0.05,0.06,0.96,
0.016,-0.17,-0.10,-0.13,0.05,0.06,0.96,
0.018,-0.17,-0.10,-0.13,0.05,0.06,0.95,
0.021,-0.17,-0.10,-0.13,0.05,0.06,0.95,
0.021,-0.16,-0.08,-0.21,0.05,0.06,0.95,
0.031,-0.16,-0.08,-0.21,0.06,0.06,0.95,
0.032,-0.16,-0.08,-0.21,0.06,0.07,0.95,
0.032,-0.14,-0.06,-0.25,0.06,0.07,0.95,
0.032,-0.14,-0.06,-0.25,0.06,0.07,0.95,
0.032,-0.14,-0.06,-0.25,0.06,0.07,0.95,
0.032,-0.09,-0.02,-0.29,0.06,0.07,0.95,
0.033,-0.09,-0.02,-0.29,0.06,0.07,0.94,
0.035,-0.09,-0.02,-0.29,0.06,0.07,0.94,
0.036,-0.06,0.00,-0.31,0.06,0.07,0.94,
0.038,-0.06,0.00,-0.31,0.07,0.07,0.94,
0.04,-0.06,0.00,-0.31,0.07,0.08,0.94,
0.041,-0.04,0.02,-0.35,0.07,0.08,0.94,
0.043,-0.04,0.02,-0.35,0.07,0.08,0.94,
0.045,-0.04,0.02,-0.35,0.07,0.08,0.94,
0.046,0.01,0.07,-0.36,0.07,0.08,0.94,
0.048,0.01,0.07,-0.36,0.08,0.08,0.94,
0.05,0.01,0.07,-0.36,0.08,0.08,0.94,
0.05,0.06,0.10,-0.36,0.08,0.08,0.94,
0.053,0.06,0.10,-0.36,0.07,0.08,0.94,
0.055,0.10,0.12,-0.35,0.07,0.08,0.94,
0.055,0.10,0.12,-0.35,0.07,0.08,0.95,
0.057,0.10,0.12,-0.35,0.08,0.08,0.95,
0.06,0.10,0.12,-0.35,0.08,0.08,0.95,
0.06,0.10,0.14,-0.31,0.08,0.08,0.95,
0.062,0.10,0.14,-0.31,0.08,0.08,0.95,
0.065,0.10,0.14,-0.31,0.08,0.08,0.96,
0.065,0.13,0.15,-0.28,0.08,0.08,0.96,
0.068,0.13,0.15,-0.28,0.08,0.08,0.96,
0.07,0.13,0.15,-0.28,0.08,0.08,0.96,
0.07,0.12,0.13,-0.24,0.08,0.08,0.96,
0.072,0.12,0.13,-0.24,0.07,0.07,0.96,
0.075,0.12,0.13,-0.24,0.07,0.07,0.96,
0.075,0.14,0.12,-0.18,0.07,0.07,0.96,
0.077,0.14,0.12,-0.18,0.07,0.07,0.97,
0.08,0.14,0.12,-0.18,0.06,0.07,0.97,
0.08,0.09,0.08,-0.14,0.06,0.07,0.97,
0.082,0.09,0.08,-0.14,0.06,0.06,0.97,
0.085,0.09,0.08,-0.14,0.06,0.06,0.97,
0.085,0.03,0.05,-0.11,0.06,0.06,0.97,
0.087,0.03,0.05,-0.11,0.06,0.06,0.97,
0.09,0.03,0.05,-0.11,0.06,0.06,0.98,
0.091,-0.02,0.02,-0.07,0.06,0.06,0.98,
0.093,-0.02,0.02,-0.07,0.06,0.06,0.98,
0.095,-0.02,0.02,-0.07,0.06,0.06,0.98,
0.095,-0.03,0.00,-0.01,0.06,0.06,0.98,
0.097,-0.03,0.00,-0.01,0.06,0.06,0.99,
0.099,-0.03,0.00,-0.01,0.06,0.05,0.99,
0.099,-0.06,-0.02,0.06,0.06,0.05,0.99,
0.102,-0.06,-0.02,0.06,0.06,0.05,0.99,
0.104,-0.06,-0.02,0.06,0.06,0.05,0.99,
0.104,-0.05,-0.05,0.09,0.06,0.05,0.99,
0.107,-0.05,-0.05,0.09,0.06,0.05,0.99,
0.11,-0.05,-0.05,0.09,0.06,0.05,0.99,
