
time,ax,ay,az,gFx,gFy,gFz,
0.002,-0.10,-0.05,0.38,-0.12,0.17,0.98,
0.002,-0.10,-0.09,0.27,-0.12,0.17,0.98,
0.003,-0.10,-0.09,0.27,-0.12,0.17,0.97,
0.005,-0.10,-0.09,0.27,-0.12,0.17,0.97,
0.005,-0.14,-0.10,0.18,-0.12,0.17,0.97,
0.005,-0.14,-0.10,0.18,-0.12,0.17,0.97,
0.008,-0.14,-0.10,0.18,-0.12,0.17,0.96,
0.008,-0.20,-0.09,0.10,-0.12,0.17,0.96,
0.01,-0.20,-0.09,0.10,-0.13,0.17,0.96,
0.013,-0.20,-0.09,0.10,-0.12,0.17,0.96,
0.013,-0.20,-0.06,0.02,-0.12,0.17,0.96,
0.015,-0.20,-0.06,0.02,-0.12,0.17,0.95,
0.018,-0.20,-0.06,0.02,-0.12,0.18,0.95,
0.018,-0.22,-0.04,-0.04,-0.12,0.18,0.95,
0.02,-0.22,-0.04,-0.04,-0.12,0.17,0.95,
0.023,-0.22,-0.04,-0.04,-0.11,0.17,0.95,
0.023,-0.17,-0.04,-0.09,-0.11,0.17,0.95,
0.025,-0.17,-0.04,-0.09,-0.11,0.17,0.95,
0.028,-0.17,-0.04,-0.09,-0.11,0.18,0.94,
0.028,-0.13,-0.05,-0.13,-0.11,0.18,0.94,
0.031,-0.13,-0.05,-0.13,-0.11,0.18,0.94,
0.032,-0.13,-0.05,-0.13,-0.11,0.18,0.94,
0.033,-0.10,-0.04,-0.17,-0.11,0.18,0.94,
0.035,-0.10,-0.04,-0.17,-0.11,0.19,0.94,
0.037,-0.10,-0.04,-0.17,-0.11,0.18,0.94,
0.038,-0.08,0.00,-0.18,-0.11,0.18,0.94,
0.04,-0.08,0.00,-0.18,-0.11,0.19,0.94,
0.042,-0.08,0.00,-0.18,-0.11,0.19,0.94,
0.043,-0.06,0.05,-0.17,-0.11,0.19,0.94,
0.045,-0.06,0.05,-0.17,-0.10,0.19,0.95,
0.047,-0.06,0.05,-0.17,-0.10,0.19,0.95,
0.047,-0.03,0.06,-0.17,-0.10,0.19,0.95,
0.05,-0.03,0.06,-0.17,-0.10,0.18,0.95,
0.052,-0.03,0.06,-0.17,-0.10,0.19,0.95,
0.052,0.01,0.06,-0.15,-0.10,0.19,0.95,
0.054,0.01,0.06,-0.15,-0.10,0.19,0.95,
0.057,0.01,0.06,-0.15,-0.10,0.19,0.95,
0.057,0.05,0.06,-0.14,-0.10,0.19,0.95,
0.06,0.05,0.06,-0.14,-0.10,0.19,0.95,
0.062,0.05,0.06,-0.14,-0.10,0.19,0.95,
0.062,0.07,0.10,-0.12,-0.10,0.19,0.95,
0.07,0.07,0.10,-0.12,-0.10,0.19,0.95,
0.071,0.07,0.10,-0.12,-0.10,0.19,0.95,
0.071,0.07,0.12,-0.09,-0.10,0.19,0.95,
0.071,0.07,0.12,-0.09,-0.09,0.19,0.96,
0.072,0.07,0.12,-0.09,-0.09,0.19,0.96,
0.072,0.08,0.14,-0.07,-0.09,0.19,0.96,
0.074,0.08,0.14,-0.07,-0.09,0.19,0.96,
0.077,0.08,0.14,-0.07,-0.09,0.19,0.96,
0.077,0.10,0.13,-0.02,-0.09,0.19,0.96,
0.079,0.10,0.13,-0.02,-0.10,0.19,0.96,
0.081,0.10,0.13,-0.02,-0.10,0.19,0.96,
0.082,0.09,0.11,0.00,-0.10,0.19,0.96,
0.084,0.09,0.11,0.00,-0.10,0.19,0.96,
0.086,0.09,0.11,0.00,-0.10,0.19,0.97,
0.086,0.08,0.10,0.02,-0.10,0.19,0.97,
0.089,0.08,0.10,0.02,-0.10,0.19,0.97,
0.091,0.08,0.10,0.02,-0.10,0.19,0.97,
0.091,0.08,0.08,0.05,-0.10,0.19,0.97,
0.094,0.08,0.08,0.05,-0.10,0.19,0.97,
0.097,0.08,0.08,0.05,-0.10,0.19,0.97,
0.097,0.08,0.09,0.07,-0.10,0.19,0.97,
0.098,0.08,0.09,0.07,-0.10,0.19,0.97,
0.101,0.08,0.09,0.07,-0.10,0.18,0.97,
0.101,0.06,0.07,0.06,-0.10,0.18,0.97,
0.103,0.06,0.07,0.06,-0.10,0.18,0.97,
0.106,0.06,0.07,0.06,-0.10,0.18,0.97,
0.106,0.05,0.06,0.07,-0.10,0.18,0.97,
0.108,0.05,0.06,0.07,-0.10,0.18,0.97,
0.111,0.05,0.06,0.07,-0.10,0.18,0.97,
0.111,0.05,0.01,0.06,-0.10,0.18,0.97,
0.113,0.05,0.01,0.06,-0.10,0.18,0.96,
0.116,0.05,0.01,0.06,-0.10,0.18,0.96,
0.116,0.03,-0.02,0.05,-0.10,0.18,0.96,
0.118,0.03,-0.02,0.05,-0.10,0.17,0.96,
0.12,0.03,-0.02,0.05,-0.10,0.18,0.96,
0.121,0.01,-0.04,0.02,-0.10,0.18,0.96,
0.123,0.01,-0.04,0.02,-0.10,0.18,0.96,
0.125,0.01,-0.04,0.02,-0.11,0.18,0.96,
0.126,-0.00,-0.05,0.01,-0.11,0.18,0.96,
0.128,-0.00,-0.05,0.01,-0.11,0.18,0.96,
0.13,-0.00,-0.05,0.01,-0.11,0.18,0.96,
0.131,-0.03,-0.03,-0.02,-0.11,0.18,0.96,
0.133,-0.03,-0.03,-0.02,-0.12,0.18,0.96,
0.135,-0.03,-0.03,-0.02,-0.12,0.18,0.96,
0.135,-0.09,-0.01,-0.02,-0.12,0.18,0.96,
0.138,-0.09,-0.01,-0.02,-0.11,0.18,0.96,
0.14,-0.09,-0.01,-0.02,-0.11,0.17,0.96,
0.141,-0.12,-0.03,-0.05,-0.11,0.17,0.96,
0.143,-0.12,-0.03,-0.05,-0.11,0.17,0.96,
0.145,-0.12,-0.03,-0.05,-0.11,0.17,0.96,
0.145,-0.10,-0.06,-0.06,-0.11,0.17,0.96,
0.148,-0.10,-0.06,-0.06,-0.11,0.17,0.96,
0.15,-0.06,-0.09,-0.06,-0.11,0.17,0.96,
0.151,-0.06,-0.09,-0.06,-0.11,0.17,0.96,
0.153,-0.06,-0.09,-0.06,-0.11,0.17,0.96,
0.155,-0.06,-0.09,-0.06,-0.11,0.17,0.96,
0.155,-0.07,-0.11,-0.05,-0.11,0.17,0.96,
0.157,-0.07,-0.11,-0.05,-0.11,0.17,0.96,
0.16,-0.07,-0.11,-0.05,-0.11,0.17,0.96,
0.16,-0.07,-0.12,-0.05,-0.11,0.17,0.96,
0.171,-0.07,-0.12,-0.05,-0.11,0.17,0.96,
0.171,-0.07,-0.12,-0.05,-0.11,0.17,0.95,
0.172,-0.09,-0.09,-0.05,-0.11,0.17,0.95,
0.172,-0.09,-0.09,-0.05,-0.11,0.17,0.96,
0.172,-0.09,-0.09,-0.05,-0.11,0.17,0.96,
0.172,-0.09,-0.09,-0.06,-0.11,0.17,0.96,
0.172,-0.09,-0.09,-0.06,-0.11,0.17,0.96,
0.174,-0.09,-0.09,-0.06,-0.11,0.17,0.96,
0.175,-0.08,-0.06,-0.03,-0.11,0.17,0.96,
0.177,-0.08,-0.06,-0.03,-0.11,0.17,0.96,
0.18,-0.08,-0.06,-0.03,-0.11,0.17,0.96,
0.18,-0.06,-0.06,-0.03,-0.11,0.17,0.96,
0.182,-0.06,-0.06,-0.03,-0.11,0.17,0.96,
0.184,-0.06,-0.06,-0.03,-0.11,0.17,0.96,
0.184,-0.05,-0.07,-0.02,-0.11,0.17,0.96,
0.187,-0.05,-0.07,-0.02,-0.10,0.17,0.96,
0.189,-0.05,-0.07,-0.02,-0.10,0.17,0.96,
0.189,-0.02,-0.07,-0.02,-0.10,0.17,0.96,
0.192,-0.02,-0.07,-0.02,-0.10,0.17,0.96,
0.194,-0.02,-0.07,-0.02,-0.10,0.17,0.96,
0.194,0.02,-0.07,-0.03,-0.10,0.17,0.96,
0.197,0.02,-0.07,-0.03,-0.10,0.17,0.96,
0.2,0.02,-0.07,-0.03,-0.10,0.17,0.96,
0.2,0.01,-0.06,-0.04,-0.10,0.17,0.96,
0.201,0.01,-0.06,-0.04,-0.10,0.17,0.96,
0.204,0.01,-0.06,-0.04,-0.10,0.17,0.95,
0.204,-0.00,-0.06,-0.04,-0.10,0.17,0.95,
0.206,-0.00,-0.06,-0.04,-0.11,0.17,0.95,
0.209,-0.00,-0.06,-0.04,-0.11,0.17,0.95,
0.209,0.01,-0.07,-0.05,-0.11,0.17,0.95,
0.211,0.01,-0.07,-0.05,-0.11,0.17,0.95,
0.215,0.01,-0.07,-0.05,-0.11,0.17,0.95,
0.215,-0.02,-0.07,-0.06,-0.11,0.17,0.95,
0.216,-0.02,-0.07,-0.06,-0.11,0.17,0.95,
0.219,-0.02,-0.07,-0.06,-0.11,0.17,0.95,
0.219,-0.02,-0.08,-0.08,-0.11,0.17,0.95,
0.221,-0.02,-0.08,-0.08,-0.11,0.17,0.95,
0.223,-0.02,-0.08,-0.08,-0.11,0.17,0.95,
0.224,-0.03,-0.08,-0.09,-0.11,0.17,0.95,
0.226,-0.03,-0.08,-0.09,-0.11,0.17,0.95,
0.228,-0.03,-0.08,-0.09,-0.11,0.17,0.95,
0.229,-0.04,-0.09,-0.11,-0.11,0.17,0.95,
0.231,-0.04,-0.09,-0.11,-0.11,0.17,0.95,
0.233,-0.04,-0.09,-0.11,-0.11,0.17,0.94,
0.233,-0.06,-0.09,-0.14,-0.11,0.17,0.94,
0.236,-0.06,-0.09,-0.14,-0.11,0.17,0.95,
0.238,-0.06,-0.09,-0.14,-0.11,0.17,0.94,
0.238,-0.08,-0.08,-0.15,-0.11,0.17,0.94,
0.24,-0.08,-0.08,-0.15,-0.11,0.17,0.94,
0.243,-0.08,-0.08,-0.15,-0.10,0.17,0.94,
0.243,-0.07,-0.08,-0.15,-0.10,0.17,0.94,
0.245,-0.07,-0.08,-0.15,-0.11,0.17,0.95,
0.248,-0.07,-0.08,-0.15,-0.11,0.18,0.95,
0.249,-0.02,-0.08,-0.15,-0.11,0.18,0.95,
0.25,-0.02,-0.08,-0.15,-0.10,0.18,0.95,
0.253,-0.02,-0.08,-0.15,-0.10,0.18,0.95,
0.253,-0.02,-0.05,-0.13,-0.10,0.18,0.95,
0.255,-0.02,-0.05,-0.13,-0.10,0.18,0.95,
0.258,-0.02,-0.05,-0.13,-0.10,0.18,0.95,
0.258,0.01,-0.04,-0.12,-0.10,0.18,0.95,
0.26,0.01,-0.04,-0.12,-0.10,0.18,0.95,
0.266,0.01,-0.04,-0.12,-0.10,0.18,0.95,
0.267,0.04,-0.01,-0.10,-0.10,0.18,0.95,
0.267,0.04,-0.01,-0.10,-0.09,0.18,0.95,
0.267,0.04,-0.01,-0.10,-0.09,0.18,0.95,
0.268,0.05,-0.00,-0.07,-0.09,0.18,0.95,
0.27,0.05,-0.00,-0.07,-0.09,0.18,0.96,
0.272,0.05,-0.00,-0.07,-0.09,0.18,0.96,
0.273,0.09,-0.00,-0.06,-0.09,0.18,0.96,
0.275,0.09,-0.00,-0.06,-0.09,0.18,0.96,
0.277,0.09,-0.00,-0.06,-0.09,0.18,0.96,
0.277,0.11,-0.02,-0.02,-0.09,0.18,0.96,
0.28,0.11,-0.02,-0.02,-0.09,0.18,0.96,
0.283,0.11,-0.02,-0.02,-0.09,0.18,0.96,
0.283,0.11,-0.03,-0.00,-0.09,0.18,0.96,
0.285,0.11,-0.03,-0.00,-0.09,0.18,0.96,
