
time,ax,ay,az,gFx,gFy,gFz,
0.002,-0.20,0.11,0.14,-0.07,0.03,0.99,
0.002,-0.20,0.11,0.14,-0.07,0.03,0.99,
0.002,-0.29,0.14,0.12,-0.07,0.03,0.99,
0.003,-0.29,0.14,0.12,-0.07,0.03,0.99,
0.005,-0.29,0.14,0.12,-0.07,0.03,0.99,
0.005,-0.33,0.14,0.09,-0.07,0.03,0.99,
0.007,-0.33,0.14,0.09,-0.07,0.03,0.99,
0.009,-0.33,0.14,0.09,-0.07,0.03,0.99,
0.01,-0.35,0.14,0.06,-0.07,0.03,0.99,
0.012,-0.35,0.14,0.06,-0.06,0.03,0.98,
0.014,-0.35,0.14,0.06,-0.06,0.03,0.98,
0.015,-0.31,0.12,0.05,-0.06,0.03,0.98,
0.017,-0.31,0.12,0.05,-0.05,0.03,0.98,
0.019,-0.31,0.12,0.05,-0.05,0.03,0.98,
0.019,-0.24,0.12,0.02,-0.05,0.03,0.98,
0.022,-0.24,0.12,0.02,-0.05,0.02,0.98,
0.024,-0.24,0.12,0.02,-0.05,0.01,0.98,
0.024,-0.15,0.12,0.01,-0.05,0.01,0.98,
0.027,-0.15,0.12,0.01,-0.05,0.01,0.98,
0.029,-0.15,0.12,0.01,-0.05,0.01,0.98,
0.03,-0.14,-0.00,-0.01,-0.05,0.01,0.98,
0.032,-0.14,-0.00,-0.01,-0.04,0.02,0.98,
0.034,-0.14,-0.00,-0.01,-0.03,0.02,0.97,
0.034,-0.11,-0.06,-0.03,-0.03,0.02,0.97,
0.036,-0.11,-0.06,-0.03,-0.03,0.03,0.97,
0.039,-0.11,-0.06,-0.03,-0.03,0.03,0.97,
0.039,0.02,0.06,-0.06,-0.03,0.03,0.97,
0.042,0.02,0.06,-0.06,-0.03,0.02,0.97,
0.044,0.02,0.06,-0.06,-0.02,0.02,0.97,
0.044,0.07,0.10,-0.08,-0.02,0.02,0.97,
0.046,0.07,0.10,-0.08,-0.02,0.02,0.97,
0.049,0.07,0.10,-0.08,-0.03,0.02,0.97,
0.049,0.09,0.06,-0.11,-0.03,0.02,0.97,
0.051,0.09,0.06,-0.11,-0.03,0.02,0.97,
0.054,0.09,0.06,-0.11,-0.03,0.02,0.97,
0.054,0.08,0.06,-0.11,-0.03,0.02,0.97,
0.056,0.08,0.06,-0.11,-0.03,0.02,0.97,
0.059,0.08,0.06,-0.11,-0.03,0.02,0.97,
0.059,0.05,0.08,-0.10,-0.03,0.02,0.97,
0.061,0.05,0.08,-0.10,-0.03,0.02,0.97,
0.065,0.05,0.08,-0.10,-0.03,0.02,0.97,
0.065,0.04,0.07,-0.10,-0.03,0.02,0.97,
0.066,0.04,0.07,-0.10,-0.03,0.02,0.97,
0.068,0.04,0.07,-0.10,-0.03,0.02,0.97,
0.069,0.05,0.06,-0.09,-0.03,0.02,0.97,
0.071,0.05,0.06,-0.09,-0.03,0.02,0.98,
0.073,0.05,0.06,-0.09,-0.03,0.03,0.98,
0.073,0.02,0.04,-0.10,-0.03,0.03,0.98,
0.076,0.02,0.04,-0.10,-0.04,0.02,0.97,
