
time,ax,ay,az,gFx,gFy,gFz,
0.003,-0.18,0.11,0.19,-0.03,0.10,0.98,
0.003,-0.18,0.11,0.19,-0.03,0.10,0.97,
0.003,-0.15,0.11,0.04,-0.03,0.10,0.97,
0.003,-0.15,0.11,0.04,-0.02,0.10,0.97,
0.005,-0.15,0.11,0.04,-0.02,0.10,0.96,
0.006,-0.10,0.10,-0.06,-0.02,0.10,0.96,
0.008,-0.10,0.10,-0.06,-0.02,0.10,0.96,
0.01,-0.10,0.10,-0.06,-0.02,0.10,0.96,
0.01,-0.06,0.09,-0.17,-0.02,0.10,0.96,
0.013,-0.06,0.09,-0.17,-0.02,0.10,0.96,
0.015,-0.06,0.09,-0.17,-0.02,0.10,0.96,
0.016,-0.04,0.08,-0.21,-0.02,0.10,0.96,
0.018,-0.04,0.08,-0.21,-0.02,0.10,0.95,
0.02,-0.04,0.08,-0.21,-0.02,0.10,0.95,
0.02,0.01,0.08,-0.25,-0.02,0.10,0.95,
0.023,0.01,0.08,-0.25,-0.01,0.10,0.95,
0.025,0.01,0.08,-0.25,-0.01,0.10,0.95,
0.025,0.04,0.09,-0.27,-0.01,0.10,0.95,
0.027,0.04,0.09,-0.27,-0.01,0.10,0.95,
0.031,0.04,0.09,-0.27,-0.01,0.10,0.95,
0.031,0.07,0.10,-0.27,-0.01,0.10,0.95,
0.032,0.07,0.10,-0.27,-0.01,0.10,0.95,
0.035,0.07,0.10,-0.27,-0.00,0.10,0.95,
0.035,0.11,0.05,-0.30,-0.00,0.10,0.95,
0.037,0.11,0.05,-0.30,-0.00,0.10,0.95,
0.04,0.11,0.05,-0.30,-0.01,0.10,0.95,
0.04,0.15,0.03,-0.29,-0.01,0.10,0.95,
0.042,0.15,0.03,-0.29,-0.01,0.09,0.95,
0.045,0.15,0.03,-0.29,-0.01,0.09,0.95,
0.045,0.16,0.02,-0.29,-0.01,0.09,0.95,
0.047,0.16,0.02,-0.29,-0.01,0.09,0.95,
0.049,0.16,0.02,-0.29,-0.01,0.09,0.95,
0.05,0.14,-0.00,-0.28,-0.01,0.09,0.95,
0.052,0.14,-0.00,-0.28,-0.01,0.09,0.95,
0.054,0.14,-0.00,-0.28,-0.01,0.09,0.95,
0.055,0.13,-0.02,-0.26,-0.01,0.09,0.95,
0.057,0.13,-0.02,-0.26,-0.01,0.09,0.95,
0.059,0.13,-0.02,-0.26,-0.01,0.09,0.95,
0.06,0.12,-0.02,-0.26,-0.01,0.09,0.95,
0.062,0.12,-0.02,-0.26,-0.01,0.09,0.95,
0.067,0.12,-0.02,-0.26,-0.01,0.09,0.95,
0.067,0.10,-0.04,-0.27,-0.01,0.09,0.95,
0.068,0.10,-0.04,-0.27,-0.01,0.09,0.95,
0.069,0.10,-0.04,-0.27,-0.01,0.09,0.95,
0.069,0.11,-0.04,-0.25,-0.01,0.09,0.95,
0.072,0.11,-0.04,-0.25,-0.01,0.10,0.96,
0.074,0.11,-0.04,-0.25,-0.01,0.09,0.96,
0.074,0.10,-0.00,-0.24,-0.01,0.09,0.96,
0.077,0.10,-0.00,-0.24,-0.01,0.10,0.96,
0.079,0.10,-0.00,-0.24,-0.01,0.10,0.96,
0.079,0.11,0.03,-0.22,-0.01,0.10,0.96,
0.082,0.11,0.03,-0.22,-0.01,0.10,0.96,
0.084,0.11,0.03,-0.22,-0.01,0.10,0.96,
0.084,0.09,0.05,-0.22,-0.01,0.10,0.96,
0.086,0.09,0.05,-0.22,-0.02,0.10,0.96,
0.089,0.09,0.05,-0.22,-0.02,0.09,0.97,
0.089,0.03,0.05,-0.19,-0.02,0.09,0.97,
0.091,0.03,0.05,-0.19,-0.02,0.10,0.97,
0.094,0.03,0.05,-0.19,-0.02,0.10,0.97,
0.094,-0.00,0.05,-0.13,-0.02,0.10,0.97,
0.096,-0.00,0.05,-0.13,-0.02,0.10,0.98,
0.099,-0.00,0.05,-0.13,-0.02,0.10,0.98,
0.099,-0.01,0.07,-0.06,-0.02,0.10,0.98,
0.101,-0.01,0.07,-0.06,-0.02,0.10,0.99,
0.104,-0.01,0.07,-0.06,-0.02,0.09,0.99,
0.104,-0.04,0.07,0.03,-0.02,0.09,0.99,
0.106,-0.04,0.07,0.03,-0.02,0.09,0.99,
0.108,-0.04,0.07,0.03,-0.02,0.09,1.00,
0.108,-0.03,0.07,0.08,-0.02,0.09,1.00,
0.111,-0.03,0.07,0.08,-0.02,0.09,1.00,
0.114,-0.03,0.07,0.08,-0.02,0.09,1.00,
0.114,-0.03,0.06,0.16,-0.02,0.09,1.00,
0.116,-0.03,0.06,0.16,-0.01,0.09,1.01,
0.118,-0.03,0.06,0.16,-0.01,0.09,1.01,
0.118,0.00,0.05,0.24,-0.01,0.09,1.01,
0.12,0.00,0.05,0.24,-0.01,0.09,1.01,
0.123,0.00,0.05,0.24,-0.00,0.09,1.01,
0.123,0.06,0.01,0.28,-0.00,0.09,1.01,
0.125,0.06,0.01,0.28,-0.00,0.09,1.01,
0.128,0.06,0.01,0.28,0.00,0.08,1.01,
0.128,0.12,-0.00,0.30,0.00,0.08,1.01,
0.13,0.12,-0.00,0.30,0.00,0.08,1.01,
0.133,0.12,-0.00,0.30,0.00,0.08,1.01,
0.133,0.16,-0.04,0.32,0.00,0.08,1.01,
0.135,0.16,-0.04,0.32,0.01,0.08,1.01,
0.138,0.16,-0.04,0.32,0.01,0.08,1.01,
0.138,0.21,-0.07,0.32,0.01,0.08,1.01,
0.14,0.21,-0.07,0.32,0.01,0.07,1.01,
0.143,0.21,-0.07,0.32,0.01,0.07,1.00,
0.143,0.25,-0.12,0.28,0.01,0.07,1.00,
0.145,0.25,-0.12,0.28,0.01,0.07,1.00,
0.148,0.25,-0.12,0.28,0.01,0.07,0.99,
0.148,0.28,-0.17,0.23,0.01,0.07,0.99,
0.15,0.28,-0.17,0.23,0.01,0.07,0.99,
0.153,0.28,-0.17,0.23,0.02,0.07,0.99,
0.153,0.29,-0.19,0.16,0.02,0.07,0.99,
0.155,0.29,-0.19,0.16,0.02,0.07,0.98,
0.157,0.29,-0.19,0.16,0.02,0.07,0.98,
0.157,0.32,-0.23,0.07,0.02,0.07,0.98,
0.16,0.32,-0.23,0.07,0.02,0.07,0.97,
0.162,0.32,-0.23,0.07,0.02,0.07,0.97,
0.162,0.34,-0.22,-0.01,0.02,0.07,0.97,
0.173,0.34,-0.22,-0.01,0.02,0.07,0.97,
0.174,0.34,-0.22,-0.01,0.02,0.07,0.96,
0.174,0.34,-0.21,-0.08,0.02,0.07,0.96,
0.174,0.34,-0.21,-0.08,0.01,0.07,0.96,
0.174,0.34,-0.21,-0.08,0.01,0.07,0.96,
0.176,0.32,-0.21,-0.14,0.01,0.07,0.96,
0.176,0.32,-0.21,-0.14,0.01,0.08,0.96,
0.177,0.32,-0.21,-0.14,0.00,0.08,0.96,
0.178,0.25,-0.18,-0.17,0.00,0.08,0.96,
0.18,0.25,-0.18,-0.17,-0.00,0.08,0.96,
0.182,0.25,-0.18,-0.17,-0.01,0.08,0.96,
0.182,0.20,-0.14,-0.18,-0.01,0.08,0.96,
0.184,0.20,-0.14,-0.18,-0.01,0.08,0.96,
0.187,0.20,-0.14,-0.18,-0.01,0.08,0.96,
0.187,0.11,-0.10,-0.20,-0.01,0.08,0.96,
0.189,0.11,-0.10,-0.20,-0.01,0.09,0.96,
0.192,0.11,-0.10,-0.20,-0.01,0.09,0.96,
0.192,0.07,-0.08,-0.18,-0.01,0.09,0.96,
