
time,ax,ay,az,gFx,gFy,gFz,
0.002,-0.08,0.09,-0.07,-0.04,0.09,0.97,
0.002,-0.08,0.09,-0.07,-0.04,0.09,0.97,
0.002,-0.05,0.11,-0.10,-0.04,0.09,0.97,
0.002,-0.05,0.11,-0.10,-0.04,0.09,0.97,
0.003,-0.05,0.11,-0.10,-0.03,0.09,0.97,
0.004,-0.03,0.09,-0.12,-0.03,0.09,0.97,
0.006,-0.03,0.09,-0.12,-0.03,0.09,0.97,
0.008,-0.03,0.09,-0.12,-0.03,0.09,0.97,
0.009,-0.01,0.08,-0.13,-0.03,0.09,0.97,
0.011,-0.01,0.08,-0.13,-0.03,0.09,0.97,
0.013,-0.01,0.08,-0.13,-0.03,0.09,0.97,
0.013,0.00,0.06,-0.13,-0.03,0.09,0.97,
0.016,0.00,0.06,-0.13,-0.03,0.08,0.97,
0.018,0.00,0.04,-0.13,-0.03,0.08,0.97,
0.019,0.00,0.04,-0.13,-0.03,0.08,0.97,
0.02,0.00,0.04,-0.13,-0.03,0.08,0.97,
0.023,0.00,0.04,-0.13,-0.03,0.09,0.97,
0.023,0.01,0.02,-0.12,-0.03,0.09,0.97,
0.025,0.01,0.02,-0.12,-0.03,0.09,0.97,
0.03,0.01,0.02,-0.12,-0.04,0.08,0.98,
0.03,0.00,0.03,-0.08,-0.04,0.08,0.98,
0.031,0.00,0.03,-0.08,-0.04,0.08,0.98,
0.034,0.00,0.03,-0.08,-0.04,0.08,0.98,
0.034,-0.01,0.04,-0.04,-0.04,0.08,0.98,
0.035,-0.01,0.04,-0.04,-0.04,0.08,0.98,
0.038,-0.01,0.04,-0.04,-0.04,0.08,0.98,
0.038,-0.03,0.02,0.01,-0.04,0.08,0.98,
0.04,-0.03,0.02,0.01,-0.04,0.08,0.98,
0.042,-0.03,0.02,0.01,-0.04,0.08,0.98,
0.043,-0.03,0.02,0.03,-0.04,0.08,0.98,
0.045,-0.03,0.02,0.03,-0.04,0.08,0.98,
0.047,-0.03,0.02,0.03,-0.04,0.09,0.98,
0.048,-0.04,0.02,0.05,-0.04,0.09,0.98,
0.05,-0.04,0.02,0.05,-0.04,0.09,0.98,
0.053,-0.04,0.02,0.05,-0.04,0.09,0.98,
0.053,-0.06,0.03,0.03,-0.04,0.09,0.98,
0.055,-0.06,0.03,0.03,-0.04,0.09,0.98,
0.057,-0.06,0.03,0.03,-0.04,0.09,0.98,
0.057,-0.04,0.05,0.02,-0.04,0.09,0.98,
0.067,-0.04,0.05,0.02,-0.04,0.09,0.98,
0.068,-0.04,0.05,0.02,-0.04,0.09,0.97,
0.068,-0.06,0.09,-0.01,-0.04,0.09,0.97,
0.068,-0.06,0.09,-0.01,-0.04,0.09,0.97,
0.068,-0.06,0.09,-0.01,-0.04,0.09,0.97,
0.068,-0.05,0.10,-0.03,-0.04,0.09,0.97,
0.07,-0.05,0.10,-0.03,-0.04,0.09,0.97,
0.072,-0.05,0.10,-0.03,-0.04,0.09,0.97,
0.072,-0.07,0.11,-0.04,-0.04,0.09,0.97,
0.074,-0.07,0.11,-0.04,-0.04,0.09,0.97,
0.077,-0.07,0.11,-0.04,-0.04,0.09,0.97,
0.077,-0.07,0.10,-0.06,-0.04,0.09,0.97,
0.079,-0.07,0.10,-0.06,-0.04,0.09,0.97,
0.082,-0.06,0.11,-0.08,-0.04,0.09,0.97,
0.082,-0.06,0.11,-0.08,-0.04,0.09,0.97,
0.084,-0.06,0.11,-0.08,-0.04,0.09,0.97,
0.087,-0.06,0.11,-0.08,-0.04,0.09,0.97,
0.087,-0.06,0.10,-0.08,-0.04,0.09,0.97,
0.089,-0.06,0.10,-0.08,-0.04,0.09,0.97,
0.091,-0.04,0.09,-0.08,-0.04,0.09,0.97,
0.092,-0.04,0.09,-0.08,-0.04,0.09,0.97,
0.094,-0.04,0.09,-0.08,-0.04,0.09,0.97,
0.096,-0.04,0.09,-0.08,-0.04,0.09,0.97,
0.097,-0.02,0.07,-0.07,-0.04,0.09,0.97,
0.099,-0.02,0.07,-0.07,-0.03,0.09,0.97,
0.101,-0.02,0.07,-0.07,-0.04,0.09,0.97,
0.101,-0.00,0.07,-0.08,-0.04,0.09,0.97,
0.104,-0.00,0.07,-0.08,-0.04,0.09,0.97,
0.106,-0.00,0.07,-0.08,-0.04,0.08,0.97,
0.106,0.02,0.05,-0.10,-0.04,0.08,0.97,
0.108,0.02,0.05,-0.10,-0.04,0.08,0.97,
0.111,0.02,0.05,-0.10,-0.04,0.08,0.98,
0.111,0.01,0.03,-0.07,-0.04,0.08,0.98,
0.113,0.01,0.03,-0.07,-0.04,0.08,0.98,
0.116,0.01,0.03,-0.07,-0.04,0.08,0.98,
0.116,0.01,0.01,-0.04,-0.04,0.08,0.98,
0.118,0.01,0.01,-0.04,-0.04,0.08,0.98,
0.121,0.01,0.01,-0.04,-0.04,0.08,0.98,
0.121,-0.00,-0.02,0.00,-0.04,0.08,0.98,
0.123,-0.00,-0.02,0.00,-0.04,0.08,0.99,
0.126,-0.00,-0.03,0.04,-0.04,0.08,0.99,
0.128,-0.00,-0.03,0.04,-0.04,0.08,0.99,
0.129,-0.00,-0.03,0.04,-0.04,0.08,0.99,
0.131,-0.00,-0.03,0.04,-0.04,0.08,0.99,
0.131,0.00,-0.04,0.08,-0.04,0.08,0.99,
0.133,0.00,-0.04,0.08,-0.04,0.08,0.99,
0.136,0.00,-0.04,0.08,-0.04,0.08,0.99,
0.136,-0.04,-0.05,0.11,-0.04,0.08,0.99,
0.138,-0.04,-0.05,0.11,-0.04,0.08,0.99,
0.14,-0.04,-0.05,0.11,-0.04,0.08,0.99,
0.141,-0.03,-0.06,0.15,-0.04,0.08,0.99,
0.143,-0.03,-0.06,0.15,-0.04,0.08,0.99,
0.145,-0.03,-0.06,0.15,-0.04,0.08,0.99,
0.146,-0.04,-0.05,0.16,-0.04,0.08,0.99,
0.148,-0.04,-0.05,0.16,-0.04,0.08,0.99,
0.15,-0.04,-0.05,0.16,-0.04,0.08,0.99,
0.15,-0.00,-0.04,0.14,-0.04,0.08,0.99,
0.153,-0.00,-0.04,0.14,-0.04,0.08,0.99,
0.155,-0.00,-0.04,0.14,-0.04,0.08,0.99,
0.156,0.01,-0.04,0.13,-0.04,0.08,0.99,
0.158,0.01,-0.04,0.13,-0.04,0.08,0.99,
0.163,0.01,-0.04,0.13,-0.03,0.08,0.99,
0.164,0.01,-0.05,0.11,-0.03,0.08,0.99,
0.164,0.01,-0.05,0.11,-0.03,0.08,0.99,
0.165,0.02,-0.04,0.09,-0.03,0.08,0.99,
0.165,0.02,-0.04,0.09,-0.03,0.08,0.98,
0.167,0.02,-0.04,0.09,-0.03,0.08,0.98,
0.17,0.05,-0.05,0.06,-0.03,0.08,0.98,
0.17,0.05,-0.05,0.06,-0.03,0.08,0.98,
0.172,0.05,-0.05,0.06,-0.03,0.08,0.98,
0.175,0.07,-0.05,0.04,-0.03,0.08,0.98,
0.175,0.07,-0.05,0.04,-0.03,0.08,0.98,
0.177,0.07,-0.05,0.04,-0.03,0.08,0.98,
0.18,0.07,-0.05,0.04,-0.02,0.07,0.98,
0.18,0.09,-0.06,0.02,-0.02,0.07,0.98,
0.182,0.09,-0.06,0.02,-0.02,0.07,0.98,
0.185,0.09,-0.06,0.02,-0.02,0.07,0.98,
0.185,0.12,-0.06,0.01,-0.02,0.07,0.98,
0.187,0.12,-0.06,0.01,-0.02,0.07,0.98,
0.19,0.15,-0.07,-0.01,-0.02,0.07,0.98,
0.19,0.15,-0.07,-0.01,-0.02,0.07,0.98,
0.192,0.15,-0.07,-0.01,-0.02,0.07,0.98,
0.195,0.15,-0.07,-0.01,-0.02,0.07,0.98,
0.196,0.17,-0.08,-0.02,-0.02,0.07,0.98,
0.197,0.17,-0.08,-0.02,-0.02,0.07,0.98,
0.199,0.17,-0.08,-0.02,-0.02,0.07,0.98,
0.2,0.17,-0.07,-0.03,-0.02,0.07,0.98,
0.202,0.17,-0.07,-0.03,-0.02,0.07,0.97,
0.204,0.17,-0.07,-0.03,-0.02,0.07,0.97,
0.204,0.17,-0.09,-0.03,-0.02,0.07,0.97,
0.207,0.17,-0.09,-0.03,-0.03,0.07,0.98,
0.209,0.17,-0.09,-0.03,-0.03,0.07,0.98,
0.209,0.13,-0.10,-0.05,-0.03,0.07,0.98,
0.211,0.13,-0.10,-0.05,-0.03,0.07,0.98,
0.214,0.13,-0.10,-0.05,-0.03,0.07,0.98,
0.214,0.10,-0.13,-0.03,-0.03,0.07,0.98,
0.216,0.10,-0.13,-0.03,-0.03,0.07,0.98,
0.219,0.10,-0.13,-0.03,-0.03,0.07,0.98,
0.219,0.08,-0.13,0.01,-0.03,0.07,0.98,
0.221,0.08,-0.13,0.01,-0.03,0.07,0.99,
0.224,0.08,-0.13,0.01,-0.03,0.06,0.99,
0.224,0.05,-0.15,0.04,-0.03,0.06,0.99,
0.227,0.05,-0.15,0.04,-0.03,0.07,0.99,
0.229,0.05,-0.16,0.09,-0.03,0.07,0.99,
0.231,0.05,-0.16,0.09,-0.03,0.06,0.99,
0.232,0.05,-0.16,0.09,-0.03,0.06,0.99,
0.234,0.05,-0.16,0.09,-0.03,0.06,0.99,
0.234,0.05,-0.16,0.12,-0.03,0.06,0.99,
0.236,0.05,-0.16,0.12,-0.03,0.06,1.00,
0.238,0.05,-0.16,0.12,-0.03,0.06,1.00,
0.239,0.05,-0.17,0.14,-0.03,0.06,1.00,
0.241,0.05,-0.17,0.14,-0.03,0.06,1.00,
0.244,0.05,-0.17,0.14,-0.03,0.06,1.00,
0.244,0.05,-0.18,0.16,-0.03,0.06,1.00,
0.246,0.05,-0.18,0.16,-0.03,0.06,0.99,
0.248,0.05,-0.18,0.16,-0.02,0.06,0.99,
0.249,0.09,-0.19,0.16,-0.02,0.06,0.99,
0.251,0.09,-0.19,0.16,-0.02,0.06,0.99,
0.253,0.09,-0.19,0.16,-0.02,0.06,0.99,
0.253,0.11,-0.20,0.14,-0.02,0.06,0.99,
0.255,0.11,-0.20,0.14,-0.02,0.06,0.99,
0.258,0.11,-0.20,0.14,-0.02,0.06,0.98,
0.259,0.13,-0.21,0.10,-0.02,0.06,0.98,
0.267,0.13,-0.21,0.10,-0.02,0.06,0.98,
0.267,0.13,-0.21,0.10,-0.02,0.05,0.98,
0.267,0.15,-0.22,0.04,-0.02,0.05,0.98,
0.267,0.15,-0.22,0.04,-0.02,0.05,0.98,
0.268,0.15,-0.22,0.04,-0.02,0.05,0.97,
0.268,0.16,-0.25,-0.01,-0.02,0.05,0.97,
0.27,0.16,-0.25,-0.01,-0.02,0.05,0.97,
0.272,0.16,-0.25,-0.01,-0.02,0.05,0.97,
0.273,0.18,-0.28,-0.04,-0.02,0.05,0.97,
0.275,0.18,-0.28,-0.04,-0.02,0.05,0.97,
0.278,0.18,-0.28,-0.04,-0.01,0.05,0.97,
0.278,0.18,-0.29,-0.07,-0.01,0.05,0.97,
0.28,0.18,-0.29,-0.07,-0.02,0.05,0.97,
0.283,0.18,-0.29,-0.07,-0.02,0.05,0.97,
0.283,0.19,-0.32,-0.08,-0.02,0.05,0.97,
0.285,0.19,-0.32,-0.08,-0.02,0.05,0.97,
0.287,0.19,-0.32,-0.08,-0.02,0.05,0.97,
0.288,0.18,-0.34,-0.08,-0.02,0.05,0.97,
0.29,0.18,-0.34,-0.08,-0.02,0.05,0.98,
0.293,0.18,-0.34,-0.08,-0.02,0.05,0.98,
0.293,0.15,-0.33,-0.05,-0.02,0.05,0.98,
0.295,0.15,-0.33,-0.05,-0.02,0.05,0.98,
0.298,0.15,-0.33,-0.05,-0.02,0.05,0.98,
0.298,0.16,-0.32,-0.03,-0.02,0.05,0.98,
0.3,0.16,-0.32,-0.03,-0.02,0.05,0.98,
0.302,0.16,-0.32,-0.03,-0.02,0.05,0.98,
0.302,0.16,-0.32,-0.02,-0.02,0.05,0.98,
0.304,0.16,-0.32,-0.02,-0.02,0.05,0.98,
0.307,0.16,-0.32,-0.02,-0.02,0.05,0.98,
