
time,ax,ay,az,gFx,gFy,gFz,
0.002,0.05,-0.01,0.49,0.00,0.06,0.99,
0.002,0.01,-0.00,0.35,0.00,0.06,0.99,
0.002,0.01,-0.00,0.35,0.00,0.06,0.99,
0.003,0.01,-0.00,0.35,0.01,0.06,0.98,
0.003,-0.01,-0.01,0.18,0.01,0.06,0.98,
0.005,-0.01,-0.01,0.18,0.01,0.06,0.97,
0.008,-0.01,-0.01,0.18,0.01,0.06,0.97,
0.008,-0.01,-0.02,0.04,0.01,0.06,0.97,
0.01,-0.01,-0.02,0.04,0.01,0.06,0.96,
0.014,-0.01,-0.02,0.04,0.01,0.06,0.96,
0.014,0.03,-0.02,-0.09,0.01,0.06,0.96,
0.015,0.03,-0.02,-0.09,0.01,0.06,0.95,
0.018,0.03,-0.02,-0.09,0.01,0.06,0.95,
0.018,0.03,-0.02,-0.18,0.01,0.06,0.95,
0.02,0.03,-0.02,-0.18,0.01,0.06,0.95,
0.023,0.04,-0.02,-0.23,0.01,0.06,0.95,
0.023,0.04,-0.02,-0.23,0.01,0.06,0.95,
0.025,0.04,-0.02,-0.23,0.01,0.06,0.95,
0.027,0.04,-0.02,-0.23,0.01,0.06,0.95,
0.028,0.07,-0.01,-0.24,0.01,0.06,0.95,
0.03,0.07,-0.01,-0.24,0.02,0.06,0.95,
0.033,0.07,-0.01,-0.24,0.02,0.06,0.95,
0.033,0.07,-0.02,-0.25,0.02,0.06,0.95,
0.035,0.07,-0.02,-0.25,0.01,0.06,0.96,
0.037,0.07,-0.02,-0.25,0.02,0.06,0.96,
0.037,0.09,-0.03,-0.24,0.02,0.06,0.96,
0.04,0.09,-0.03,-0.24,0.02,0.06,0.96,
0.042,0.09,-0.03,-0.24,0.02,0.06,0.96,
0.042,0.07,0.01,-0.21,0.02,0.06,0.96,
0.044,0.07,0.01,-0.21,0.02,0.06,0.96,
0.047,0.08,-0.01,-0.18,0.02,0.06,0.96,
0.048,0.08,-0.01,-0.18,0.02,0.06,0.97,
0.05,0.08,-0.01,-0.18,0.02,0.06,0.97,
0.052,0.08,-0.01,-0.18,0.02,0.06,0.97,
0.053,0.09,-0.00,-0.14,0.02,0.06,0.97,
0.054,0.09,-0.00,-0.14,0.02,0.06,0.97,
0.057,0.09,-0.00,-0.14,0.02,0.06,0.97,
0.057,0.11,-0.00,-0.09,0.02,0.06,0.97,
0.059,0.11,-0.00,-0.09,0.02,0.06,0.97,
0.062,0.11,-0.00,-0.09,0.01,0.06,0.98,
0.062,0.09,-0.02,-0.05,0.01,0.06,0.98,
0.069,0.09,-0.02,-0.05,0.01,0.06,0.98,
0.07,0.09,-0.02,-0.05,0.01,0.06,0.98,
0.07,0.07,-0.01,-0.02,0.01,0.06,0.98,
0.07,0.07,-0.01,-0.02,0.01,0.06,0.98,
0.071,0.07,-0.01,-0.02,0.01,0.06,0.98,
0.072,0.07,-0.01,-0.00,0.01,0.06,0.98,
0.074,0.07,-0.01,-0.00,0.01,0.06,0.98,
0.076,0.07,-0.01,-0.00,0.01,0.06,0.98,
0.076,0.04,0.02,0.02,0.01,0.06,0.98,
0.079,0.04,0.02,0.02,0.01,0.06,0.98,
0.081,0.03,0.02,0.02,0.01,0.06,0.98,
0.082,0.03,0.02,0.02,0.01,0.06,0.98,
0.084,0.03,0.02,0.02,0.01,0.06,0.98,
0.086,0.03,0.02,0.02,0.01,0.06,0.98,
0.086,0.03,0.04,0.04,0.01,0.06,0.98,
0.088,0.03,0.04,0.04,0.01,0.06,0.98,
