
time,ax,ay,az,gFx,gFy,gFz,
0.002,0.24,-0.13,0.14,0.01,0.13,0.98,
0.002,0.19,-0.15,0.08,0.01,0.13,0.98,
0.002,0.19,-0.15,0.08,0.01,0.13,0.98,
0.003,0.19,-0.15,0.08,0.01,0.13,0.98,
0.003,0.14,-0.12,0.06,0.01,0.13,0.98,
0.003,0.14,-0.12,0.06,0.00,0.14,0.98,
0.006,0.14,-0.12,0.06,-0.00,0.14,0.98,
0.006,0.07,-0.11,0.05,-0.00,0.14,0.98,
0.008,0.07,-0.11,0.05,-0.00,0.14,0.98,
0.01,0.07,-0.11,0.05,-0.01,0.14,0.98,
0.011,0.00,-0.07,0.06,-0.01,0.14,0.98,
0.013,0.00,-0.07,0.06,-0.01,0.14,0.98,
0.016,0.00,-0.07,0.06,-0.02,0.15,0.98,
0.016,-0.05,-0.06,0.06,-0.02,0.15,0.98,
0.018,-0.05,-0.06,0.06,-0.02,0.15,0.97,
0.02,-0.05,-0.06,0.06,-0.01,0.15,0.97,
0.021,-0.13,-0.01,0.03,-0.01,0.15,0.97,
0.023,-0.13,-0.01,0.03,-0.01,0.15,0.97,
0.025,-0.13,-0.01,0.03,-0.01,0.15,0.97,
0.025,-0.14,0.01,-0.01,-0.01,0.15,0.97,
0.028,-0.14,0.01,-0.01,-0.01,0.15,0.96,
0.03,-0.14,0.01,-0.01,-0.01,0.15,0.96,
0.031,-0.11,0.02,-0.06,-0.01,0.15,0.96,
0.033,-0.11,0.02,-0.06,-0.01,0.15,0.96,
0.035,-0.11,0.02,-0.06,-0.01,0.15,0.96,
0.035,-0.08,0.05,-0.13,-0.01,0.15,0.96,
0.037,-0.08,0.05,-0.13,-0.01,0.15,0.96,
0.04,-0.08,0.05,-0.13,-0.00,0.16,0.95,
0.04,-0.07,0.07,-0.17,-0.00,0.16,0.95,
0.042,-0.07,0.07,-0.17,-0.00,0.15,0.95,
0.048,-0.07,0.07,-0.17,-0.00,0.15,0.96,
0.048,-0.04,0.07,-0.18,-0.00,0.15,0.96,
0.049,-0.04,0.07,-0.18,-0.00,0.15,0.96,
0.051,-0.04,0.07,-0.18,-0.00,0.15,0.96,
0.051,-0.02,0.07,-0.18,-0.00,0.15,0.96,
0.052,-0.02,0.07,-0.18,-0.01,0.15,0.96,
0.055,-0.02,0.07,-0.18,-0.01,0.15,0.96,
0.055,-0.02,0.06,-0.16,-0.01,0.15,0.96,
0.057,-0.02,0.06,-0.16,-0.01,0.15,0.96,
0.06,-0.02,0.06,-0.16,-0.01,0.15,0.97,
0.06,-0.04,0.06,-0.13,-0.01,0.15,0.97,
0.062,-0.04,0.06,-0.13,-0.01,0.16,0.97,
0.064,-0.04,0.06,-0.13,-0.01,0.16,0.97,
0.065,-0.05,0.06,-0.09,-0.01,0.16,0.97,
0.067,-0.05,0.06,-0.09,-0.01,0.16,0.97,
0.069,-0.05,0.06,-0.09,-0.01,0.16,0.97,
0.069,-0.07,0.08,-0.04,-0.01,0.16,0.97,
0.071,-0.07,0.08,-0.04,-0.01,0.16,0.97,
0.074,-0.07,0.08,-0.04,-0.01,0.16,0.98,
0.074,-0.08,0.08,-0.01,-0.01,0.16,0.98,
0.076,-0.08,0.08,-0.01,-0.01,0.16,0.98,
0.079,-0.08,0.08,-0.01,-0.01,0.16,0.98,
0.08,-0.09,0.10,0.02,-0.01,0.16,0.98,
0.082,-0.09,0.10,0.02,-0.01,0.16,0.98,
0.085,-0.09,0.10,0.02,-0.01,0.16,0.98,
0.085,-0.07,0.10,0.04,-0.01,0.16,0.98,
0.086,-0.07,0.10,0.04,-0.01,0.16,0.98,
0.089,-0.07,0.10,0.04,-0.01,0.16,0.98,
0.089,-0.08,0.10,0.05,-0.01,0.16,0.98,
0.091,-0.08,0.10,0.05,-0.01,0.16,0.98,
0.094,-0.08,0.10,0.05,-0.00,0.16,0.98,
0.094,-0.07,0.10,0.06,-0.00,0.16,0.98,
0.096,-0.07,0.10,0.06,-0.00,0.16,0.98,
0.099,-0.07,0.10,0.06,-0.00,0.15,0.98,
0.099,-0.02,0.10,0.07,-0.00,0.15,0.98,
0.101,-0.02,0.10,0.07,-0.01,0.15,0.98,
0.104,-0.02,0.10,0.07,-0.00,0.15,0.98,
0.104,-0.00,0.08,0.07,-0.00,0.15,0.98,
0.106,-0.00,0.08,0.07,-0.00,0.15,0.98,
0.108,-0.00,0.08,0.07,-0.01,0.15,0.98,
0.109,-0.02,0.03,0.06,-0.01,0.15,0.98,
0.112,-0.02,0.03,0.06,-0.00,0.14,0.98,
0.114,-0.02,0.03,0.06,-0.00,0.15,0.98,
0.114,-0.02,-0.01,0.03,-0.00,0.15,0.98,
0.116,-0.02,-0.01,0.03,-0.00,0.15,0.98,
0.119,-0.02,-0.01,0.03,-0.00,0.15,0.98,
0.119,-0.00,-0.02,0.04,-0.00,0.15,0.98,
0.121,-0.00,-0.02,0.04,-0.00,0.15,0.98,
0.123,-0.00,-0.02,0.04,-0.01,0.15,0.98,
0.123,0.01,0.01,0.04,-0.01,0.15,0.98,
0.125,0.01,0.01,0.04,-0.01,0.15,0.98,
0.128,0.01,0.01,0.04,-0.01,0.16,0.98,
0.129,-0.02,0.04,0.06,-0.01,0.16,0.98,
0.131,-0.02,0.04,0.06,-0.01,0.16,0.99,
0.133,-0.02,0.04,0.06,-0.01,0.16,0.99,
0.133,-0.03,0.07,0.09,-0.01,0.16,0.99,
0.135,-0.03,0.07,0.09,-0.02,0.16,0.99,
0.138,-0.03,0.07,0.09,-0.02,0.15,0.99,
0.138,-0.08,0.09,0.13,-0.02,0.15,0.99,
0.14,-0.08,0.09,0.13,-0.02,0.16,0.99,
0.143,-0.08,0.09,0.13,-0.02,0.16,1.00,
0.143,-0.14,0.08,0.15,-0.02,0.16,1.00,
0.152,-0.14,0.08,0.15,-0.02,0.16,1.00,
0.152,-0.14,0.08,0.15,-0.02,0.16,1.00,
0.153,-0.16,0.10,0.20,-0.02,0.16,1.00,
0.153,-0.16,0.10,0.20,-0.02,0.16,1.00,
0.153,-0.16,0.10,0.20,-0.02,0.16,1.00,
0.153,-0.18,0.09,0.24,-0.02,0.16,1.00,
0.155,-0.18,0.09,0.24,-0.02,0.16,1.00,
0.158,-0.18,0.09,0.24,-0.02,0.16,1.00,
0.158,-0.14,0.11,0.24,-0.02,0.16,1.00,
0.16,-0.14,0.11,0.24,-0.02,0.16,1.00,
0.163,-0.14,0.11,0.24,-0.01,0.16,0.99,
0.164,-0.12,0.11,0.23,-0.01,0.16,0.99,
0.165,-0.12,0.11,0.23,-0.01,0.16,0.99,
0.167,-0.12,0.11,0.23,-0.01,0.16,0.99,
0.167,-0.10,0.09,0.21,-0.01,0.16,0.99,
0.17,-0.10,0.09,0.21,-0.01,0.16,0.99,
0.172,-0.10,0.09,0.21,-0.01,0.15,0.98,
0.172,-0.07,0.08,0.16,-0.01,0.15,0.98,
0.174,-0.07,0.08,0.16,-0.01,0.15,0.98,
0.178,-0.07,0.08,0.16,-0.01,0.15,0.98,
0.178,-0.07,0.05,0.11,-0.01,0.15,0.98,
0.18,-0.07,0.05,0.11,-0.01,0.15,0.98,
0.182,-0.07,0.05,0.11,-0.01,0.15,0.97,
0.182,-0.04,0.04,0.05,-0.01,0.15,0.97,
0.184,-0.04,0.04,0.05,-0.01,0.15,0.97,
0.187,-0.04,0.04,0.05,-0.01,0.15,0.97,
0.187,-0.04,0.04,0.01,-0.01,0.15,0.97,
0.189,-0.04,0.04,0.01,-0.00,0.15,0.97,
0.192,-0.04,0.04,0.01,-0.00,0.15,0.97,
0.192,-0.03,0.04,-0.01,-0.00,0.15,0.97,
0.195,-0.03,0.04,-0.01,-0.00,0.15,0.97,
0.197,-0.03,0.04,-0.01,-0.00,0.15,0.97,
0.197,0.01,0.02,-0.02,-0.00,0.15,0.97,
0.199,0.01,0.02,-0.02,-0.00,0.15,0.97,
0.202,0.01,0.02,-0.02,-0.01,0.15,0.97,
0.202,0.01,0.01,-0.03,-0.01,0.15,0.97,
0.204,0.01,0.01,-0.03,-0.01,0.15,0.98,
0.206,0.01,0.01,-0.03,-0.01,0.15,0.98,
0.206,0.00,0.01,-0.00,-0.01,0.15,0.98,
0.209,0.00,0.01,-0.00,-0.01,0.15,0.98,
0.212,0.00,0.01,-0.00,-0.01,0.15,0.98,
0.212,-0.03,-0.02,0.02,-0.01,0.15,0.98,
0.214,-0.03,-0.02,0.02,-0.01,0.15,0.98,
0.216,-0.03,-0.02,0.02,-0.01,0.15,0.98,
0.216,-0.08,-0.02,0.03,-0.01,0.15,0.98,
0.218,-0.08,-0.02,0.03,-0.01,0.15,0.98,
0.221,-0.08,-0.02,0.03,-0.01,0.15,0.98,
0.221,-0.08,-0.01,0.02,-0.01,0.15,0.98,
0.223,-0.08,-0.01,0.02,-0.01,0.15,0.97,
0.226,-0.08,-0.01,0.02,-0.01,0.15,0.97,
0.227,-0.10,-0.01,0.01,-0.01,0.15,0.97,
0.229,-0.10,-0.01,0.01,-0.02,0.15,0.97,
0.232,-0.10,-0.01,-0.01,-0.02,0.15,0.97,
0.232,-0.10,-0.01,-0.01,-0.01,0.15,0.97,
0.233,-0.10,-0.01,-0.01,-0.02,0.15,0.97,
0.236,-0.10,-0.01,-0.01,-0.02,0.15,0.97,
0.237,-0.11,0.00,-0.02,-0.02,0.15,0.97,
0.238,-0.11,0.00,-0.02,-0.02,0.15,0.97,
0.241,-0.11,0.00,-0.02,-0.01,0.15,0.97,
0.241,-0.12,0.01,-0.02,-0.01,0.15,0.97,
0.243,-0.12,0.01,-0.02,-0.01,0.15,0.97,
0.248,-0.12,0.01,-0.02,-0.01,0.15,0.97,
0.248,-0.10,0.01,-0.02,-0.01,0.15,0.97,
0.248,-0.10,0.01,-0.02,-0.01,0.15,0.97,
0.25,-0.10,0.01,-0.02,-0.01,0.15,0.97,
0.251,-0.08,0.00,-0.03,-0.01,0.15,0.97,
0.253,-0.08,0.00,-0.03,-0.01,0.15,0.97,
0.256,-0.08,0.00,-0.03,-0.00,0.15,0.96,
0.256,-0.03,0.01,-0.06,-0.00,0.15,0.96,
0.257,-0.03,0.01,-0.06,-0.00,0.15,0.96,
0.26,-0.03,0.01,-0.06,-0.00,0.15,0.96,
0.26,0.00,0.01,-0.09,-0.00,0.15,0.96,
0.263,0.00,0.01,-0.09,-0.00,0.15,0.96,
0.265,0.00,0.01,-0.09,0.00,0.15,0.96,
0.265,0.01,-0.01,-0.10,0.00,0.15,0.96,
0.268,0.01,-0.01,-0.10,0.00,0.15,0.96,
0.27,0.01,-0.01,-0.10,0.00,0.15,0.96,
0.27,0.05,-0.04,-0.12,0.00,0.15,0.96,
0.272,0.05,-0.04,-0.12,0.01,0.15,0.95,
0.275,0.05,-0.04,-0.12,0.01,0.15,0.95,
0.275,0.07,-0.04,-0.15,0.01,0.15,0.95,
0.277,0.07,-0.04,-0.15,0.01,0.15,0.95,
0.28,0.07,-0.04,-0.15,0.00,0.15,0.95,
0.28,0.09,-0.03,-0.19,0.00,0.15,0.95,
0.282,0.09,-0.03,-0.19,0.00,0.15,0.95,
0.285,0.09,-0.03,-0.19,0.00,0.15,0.95,
0.285,0.09,-0.01,-0.19,0.00,0.15,0.95,
0.287,0.09,-0.01,-0.19,-0.00,0.15,0.95,
0.29,0.09,-0.01,-0.19,-0.01,0.15,0.95,
0.29,0.04,-0.02,-0.19,-0.01,0.15,0.95,
0.292,0.04,-0.02,-0.19,-0.01,0.15,0.96,
0.295,0.04,-0.02,-0.19,-0.01,0.15,0.96,
0.295,0.00,-0.00,-0.18,-0.01,0.15,0.96,
0.297,0.00,-0.00,-0.18,-0.01,0.15,0.96,
0.299,0.00,-0.00,-0.18,-0.01,0.15,0.96,
0.3,-0.02,0.01,-0.16,-0.01,0.15,0.96,
0.302,-0.02,0.01,-0.16,-0.01,0.15,0.96,
0.304,-0.02,0.01,-0.16,-0.02,0.16,0.96,
0.305,-0.05,0.01,-0.16,-0.02,0.16,0.96,
0.307,-0.05,0.01,-0.16,-0.02,0.15,0.97,
0.309,-0.05,0.01,-0.16,-0.02,0.15,0.97,
0.309,-0.11,0.02,-0.12,-0.02,0.15,0.97,
0.312,-0.11,0.02,-0.12,-0.02,0.15,0.97,
0.314,-0.11,0.02,-0.12,-0.02,0.15,0.97,
0.315,-0.15,0.01,-0.06,-0.02,0.15,0.97,
0.317,-0.15,0.01,-0.06,-0.02,0.15,0.97,
0.319,-0.15,0.01,-0.06,-0.02,0.15,0.97,
0.319,-0.17,0.00,-0.04,-0.02,0.15,0.97,
0.321,-0.17,0.00,-0.04,-0.02,0.15,0.97,
0.324,-0.17,0.00,-0.04,-0.02,0.15,0.97,
0.324,-0.17,0.01,-0.01,-0.02,0.15,0.97,
0.326,-0.17,0.01,-0.01,-0.02,0.15,0.97,
0.335,-0.17,0.01,-0.01,-0.02,0.15,0.97,
0.335,-0.16,-0.01,-0.00,-0.02,0.15,0.97,
0.335,-0.16,-0.01,-0.00,-0.02,0.15,0.97,
0.336,-0.16,-0.01,-0.00,-0.02,0.15,0.97,
0.336,-0.15,-0.06,-0.00,-0.02,0.15,0.97,
0.336,-0.15,-0.06,-0.00,-0.02,0.14,0.97,
0.339,-0.15,-0.06,-0.00,-0.01,0.14,0.97,
0.339,-0.10,-0.08,-0.00,-0.01,0.14,0.97,
0.341,-0.10,-0.08,-0.00,-0.01,0.14,0.97,
0.344,-0.10,-0.08,-0.00,-0.01,0.14,0.97,
0.344,-0.08,-0.10,-0.02,-0.01,0.14,0.97,
0.346,-0.08,-0.10,-0.02,-0.01,0.14,0.97,
0.348,-0.08,-0.10,-0.02,-0.01,0.14,0.97,
0.349,-0.05,-0.12,-0.03,-0.01,0.14,0.97,
0.351,-0.05,-0.12,-0.03,-0.01,0.14,0.97,
0.353,-0.05,-0.12,-0.03,-0.01,0.14,0.97,
0.353,-0.03,-0.14,-0.03,-0.01,0.14,0.97,
0.355,-0.03,-0.14,-0.03,-0.00,0.14,0.97,
0.358,-0.03,-0.14,-0.03,-0.00,0.14,0.97,
0.359,-0.02,-0.18,-0.04,-0.00,0.14,0.97,
0.361,-0.02,-0.18,-0.04,-0.00,0.14,0.96,
0.363,-0.02,-0.18,-0.04,0.00,0.14,0.96,
0.363,0.03,-0.16,-0.05,0.00,0.14,0.96,
0.365,0.03,-0.16,-0.05,-0.00,0.14,0.96,
0.368,0.03,-0.16,-0.05,-0.01,0.14,0.96,
0.368,0.04,-0.15,-0.08,-0.01,0.14,0.96,
0.37,0.04,-0.15,-0.08,-0.01,0.14,0.96,
0.373,0.04,-0.15,-0.08,-0.01,0.14,0.96,
0.373,0.00,-0.13,-0.11,-0.01,0.14,0.96,
0.375,0.00,-0.13,-0.11,-0.02,0.14,0.96,
0.378,0.00,-0.13,-0.11,-0.02,0.15,0.96,
0.379,-0.08,-0.10,-0.13,-0.02,0.15,0.96,
0.38,-0.08,-0.10,-0.13,-0.03,0.15,0.96,
0.383,-0.08,-0.10,-0.13,-0.03,0.15,0.96,
0.384,-0.17,-0.08,-0.14,-0.03,0.15,0.96,
0.385,-0.17,-0.08,-0.14,-0.04,0.16,0.96,
0.387,-0.17,-0.08,-0.14,-0.05,0.16,0.96,
0.388,-0.25,-0.01,-0.16,-0.05,0.16,0.96,
0.39,-0.25,-0.01,-0.16,-0.05,0.16,0.96,
0.393,-0.25,-0.01,-0.16,-0.05,0.17,0.96,
0.393,-0.37,0.04,-0.12,-0.05,0.17,0.96,
0.395,-0.37,0.04,-0.12,-0.06,0.17,0.96,
0.397,-0.37,0.04,-0.12,-0.07,0.17,0.97,
0.398,-0.46,0.10,-0.10,-0.07,0.17,0.97,
0.4,-0.46,0.10,-0.10,-0.07,0.17,0.97,
0.402,-0.46,0.10,-0.10,-0.07,0.17,0.97,
0.402,-0.55,0.15,-0.06,-0.07,0.17,0.97,
0.404,-0.55,0.15,-0.06,-0.08,0.17,0.97,
0.407,-0.55,0.15,-0.06,-0.08,0.17,0.98,
0.407,-0.63,0.16,-0.02,-0.08,0.17,0.98,
0.41,-0.63,0.16,-0.02,-0.08,0.17,0.98,
0.412,-0.63,0.16,-0.02,-0.08,0.18,0.98,
0.412,-0.67,0.17,0.04,-0.08,0.18,0.98,
0.414,-0.67,0.17,0.04,-0.08,0.17,0.98,
0.417,-0.67,0.17,0.04,-0.09,0.17,0.98,
0.417,-0.69,0.19,0.08,-0.09,0.17,0.98,
0.419,-0.69,0.19,0.08,-0.09,0.17,0.99,
0.422,-0.69,0.19,0.08,-0.09,0.17,0.99,
0.422,-0.73,0.17,0.11,-0.09,0.17,0.99,
0.424,-0.73,0.17,0.11,-0.09,0.17,0.99,
0.431,-0.73,0.17,0.11,-0.09,0.17,0.99,
0.431,-0.73,0.18,0.16,-0.09,0.17,0.99,
0.431,-0.73,0.18,0.16,-0.09,0.17,0.99,
0.432,-0.73,0.18,0.16,-0.09,0.17,0.99,
0.432,-0.74,0.17,0.18,-0.09,0.17,0.99,
0.434,-0.74,0.17,0.18,-0.09,0.16,0.99,
0.436,-0.74,0.17,0.18,-0.09,0.16,0.99,
0.437,-0.75,0.14,0.19,-0.09,0.16,0.99,
0.439,-0.75,0.14,0.19,-0.09,0.16,0.99,
0.442,-0.75,0.14,0.19,-0.09,0.16,0.99,
0.442,-0.74,0.08,0.18,-0.09,0.16,0.99,
0.444,-0.74,0.08,0.18,-0.08,0.15,0.98,
0.447,-0.74,0.08,0.18,-0.08,0.15,0.98,
0.447,-0.73,0.03,0.15,-0.08,0.15,0.98,
0.449,-0.73,0.03,0.15,-0.08,0.15,0.98,
0.451,-0.73,0.03,0.15,-0.08,0.15,0.97,
0.451,-0.71,-0.02,0.07,-0.08,0.15,0.97,
0.453,-0.71,-0.02,0.07,-0.08,0.15,0.97,
0.456,-0.71,-0.02,0.07,-0.08,0.15,0.97,
0.456,-0.68,-0.02,0.03,-0.08,0.15,0.97,
0.458,-0.68,-0.02,0.03,-0.08,0.15,0.97,
0.461,-0.68,-0.02,0.03,-0.08,0.15,0.97,
0.461,-0.68,-0.03,-0.02,-0.08,0.15,0.97,
0.463,-0.68,-0.03,-0.02,-0.08,0.15,0.97,
0.466,-0.68,-0.03,-0.02,-0.08,0.15,0.97,
0.466,-0.72,-0.05,-0.05,-0.08,0.15,0.97,
0.468,-0.72,-0.05,-0.05,-0.09,0.15,0.97,
0.471,-0.72,-0.06,-0.04,-0.09,0.15,0.97,
0.471,-0.72,-0.06,-0.04,-0.09,0.15,0.97,
0.473,-0.72,-0.06,-0.04,-0.08,0.15,0.97,
0.476,-0.72,-0.06,-0.04,-0.08,0.15,0.97,
0.476,-0.74,-0.07,-0.04,-0.08,0.15,0.97,
0.478,-0.74,-0.07,-0.04,-0.08,0.15,0.97,
0.481,-0.74,-0.07,-0.04,-0.08,0.15,0.97,
0.481,-0.71,-0.07,-0.03,-0.08,0.15,0.97,
0.483,-0.71,-0.07,-0.03,-0.08,0.15,0.97,
0.485,-0.71,-0.07,-0.03,-0.08,0.15,0.97,
0.486,-0.71,-0.07,-0.01,-0.08,0.15,0.97,
0.488,-0.71,-0.07,-0.01,-0.08,0.15,0.97,
0.491,-0.71,-0.07,-0.01,-0.08,0.15,0.97,
0.491,-0.69,-0.04,-0.00,-0.08,0.15,0.97,
0.493,-0.69,-0.04,-0.00,-0.08,0.15,0.97,
0.496,-0.69,-0.04,-0.00,-0.09,0.15,0.97,
0.496,-0.68,-0.04,0.01,-0.09,0.15,0.97,
0.498,-0.68,-0.04,0.01,-0.09,0.15,0.97,
0.5,-0.68,-0.04,0.01,-0.09,0.15,0.97,
0.501,-0.71,-0.04,-0.00,-0.09,0.15,0.97,
