
time,ax,ay,az,gFx,gFy,gFz,
0.002,0.07,0.07,0.25,0.13,0.02,1.00,
0.002,0.06,0.08,0.25,0.13,0.02,1.00,
0.002,0.06,0.08,0.25,0.13,0.02,1.00,
0.003,0.06,0.08,0.25,0.13,0.02,1.00,
0.003,0.05,0.07,0.23,0.13,0.02,1.00,
0.004,0.05,0.07,0.23,0.13,0.02,1.00,
0.006,0.05,0.07,0.23,0.13,0.02,1.00,
0.006,0.05,0.05,0.23,0.13,0.02,1.00,
0.008,0.05,0.05,0.23,0.13,0.02,1.00,
0.011,0.05,0.05,0.23,0.13,0.02,1.00,
0.011,0.05,0.04,0.23,0.13,0.02,1.00,
0.014,0.05,0.04,0.23,0.13,0.01,1.00,
0.016,0.05,0.04,0.23,0.14,0.01,1.00,
0.016,0.07,0.01,0.24,0.14,0.01,1.00,
0.018,0.07,0.01,0.24,0.13,0.01,1.00,
0.021,0.07,0.01,0.24,0.13,0.01,1.00,
0.021,0.08,-0.04,0.24,0.13,0.01,1.00,
0.023,0.08,-0.04,0.24,0.14,0.01,0.99,
0.025,0.08,-0.04,0.24,0.14,0.02,0.99,
0.026,0.08,-0.04,0.22,0.14,0.02,0.99,
0.028,0.08,-0.04,0.22,0.14,0.02,0.99,
0.031,0.08,-0.04,0.22,0.14,0.02,0.99,
0.031,0.11,-0.04,0.19,0.14,0.02,0.99,
0.033,0.11,-0.04,0.19,0.14,0.02,0.99,
0.035,0.11,-0.04,0.19,0.14,0.02,0.99,
0.035,0.08,-0.03,0.17,0.14,0.02,0.99,
0.038,0.08,-0.03,0.17,0.14,0.02,0.99,
0.04,0.08,-0.03,0.17,0.14,0.02,0.99,
0.04,0.08,-0.02,0.15,0.14,0.02,0.99,
0.043,0.08,-0.02,0.15,0.14,0.02,0.98,
0.049,0.08,-0.02,0.15,0.14,0.03,0.98,
0.049,0.08,-0.00,0.12,0.14,0.03,0.98,
0.049,0.08,-0.00,0.12,0.14,0.03,0.98,
0.05,0.08,-0.00,0.12,0.14,0.03,0.98,
0.05,0.07,0.02,0.09,0.14,0.03,0.98,
0.053,0.07,0.02,0.09,0.14,0.03,0.98,
0.055,0.07,0.02,0.09,0.14,0.03,0.98,
0.055,0.10,0.06,0.06,0.14,0.03,0.98,
0.057,0.10,0.06,0.06,0.14,0.04,0.98,
0.06,0.10,0.06,0.06,0.14,0.04,0.97,
0.06,0.09,0.08,0.04,0.14,0.04,0.97,
0.062,0.09,0.08,0.04,0.14,0.04,0.97,
0.065,0.09,0.08,0.04,0.14,0.04,0.97,
0.065,0.09,0.10,0.00,0.14,0.04,0.97,
0.067,0.09,0.10,0.00,0.14,0.04,0.97,
0.07,0.09,0.10,0.00,0.14,0.04,0.97,
0.07,0.13,0.11,-0.04,0.14,0.04,0.97,
0.072,0.13,0.11,-0.04,0.14,0.04,0.97,
0.074,0.13,0.11,-0.04,0.14,0.04,0.97,
0.075,0.14,0.10,-0.07,0.14,0.04,0.97,
0.077,0.14,0.10,-0.07,0.14,0.04,0.97,
0.079,0.14,0.10,-0.07,0.14,0.04,0.97,
0.08,0.11,0.10,-0.07,0.14,0.04,0.97,
