
time,ax,ay,az,gFx,gFy,gFz,
0.002,-0.18,-0.07,0.12,-0.06,0.08,0.98,
0.003,-0.18,-0.07,0.05,-0.06,0.08,0.98,
0.003,-0.18,-0.07,0.05,-0.06,0.08,0.98,
0.003,-0.18,-0.07,0.05,-0.06,0.08,0.98,
0.003,-0.18,-0.06,0.01,-0.06,0.08,0.98,
0.006,-0.18,-0.06,0.01,-0.05,0.08,0.98,
0.008,-0.18,-0.06,0.01,-0.05,0.09,0.98,
0.008,-0.17,-0.06,0.00,-0.05,0.09,0.98,
0.01,-0.17,-0.06,0.00,-0.05,0.09,0.98,
0.015,-0.17,-0.06,0.00,-0.05,0.09,0.98,
0.015,-0.12,-0.05,-0.02,-0.05,0.09,0.98,
0.015,-0.12,-0.05,-0.02,-0.05,0.09,0.98,
0.018,-0.12,-0.05,-0.02,-0.04,0.09,0.98,
0.018,-0.09,-0.04,0.01,-0.04,0.09,0.98,
0.02,-0.09,-0.04,0.01,-0.04,0.09,0.98,
0.023,-0.09,-0.04,0.01,-0.04,0.09,0.98,
0.023,-0.05,-0.03,0.01,-0.04,0.09,0.98,
0.025,-0.05,-0.03,0.01,-0.04,0.09,0.98,
0.028,-0.05,-0.03,0.01,-0.04,0.09,0.98,
0.028,-0.02,-0.03,0.03,-0.04,0.09,0.98,
0.031,-0.02,-0.03,0.03,-0.04,0.09,0.98,
0.033,-0.02,-0.03,0.03,-0.03,0.09,0.98,
0.033,0.01,-0.01,0.03,-0.03,0.09,0.98,
0.035,0.01,-0.01,0.03,-0.03,0.09,0.98,
0.037,0.01,-0.01,0.03,-0.03,0.09,0.98,
0.038,0.06,0.01,0.02,-0.03,0.09,0.98,
0.04,0.06,0.01,0.02,-0.04,0.09,0.98,
0.042,0.06,0.01,0.02,-0.03,0.09,0.98,
0.042,0.08,0.03,0.02,-0.03,0.09,0.98,
0.045,0.08,0.03,0.02,-0.03,0.10,0.98,
0.05,0.08,0.03,0.02,-0.03,0.10,0.97,
0.05,0.08,0.02,0.01,-0.03,0.10,0.97,
0.05,0.08,0.02,0.01,-0.03,0.10,0.97,
0.052,0.08,0.02,0.01,-0.03,0.10,0.97,
0.052,0.10,0.05,-0.02,-0.03,0.10,0.97,
0.054,0.10,0.05,-0.02,-0.03,0.10,0.97,
0.057,0.10,0.05,-0.02,-0.03,0.10,0.97,
0.057,0.12,0.07,-0.04,-0.03,0.10,0.97,
0.06,0.12,0.07,-0.04,-0.04,0.10,0.97,
0.062,0.12,0.07,-0.04,-0.03,0.10,0.97,
0.062,0.11,0.09,-0.08,-0.03,0.10,0.97,
0.064,0.11,0.09,-0.08,-0.03,0.11,0.96,
0.067,0.11,0.09,-0.08,-0.03,0.11,0.96,
0.067,0.08,0.11,-0.11,-0.03,0.11,0.96,
0.07,0.08,0.11,-0.11,-0.03,0.11,0.96,
0.072,0.08,0.11,-0.11,-0.03,0.11,0.97,
0.072,0.08,0.14,-0.13,-0.03,0.11,0.97,
0.074,0.08,0.14,-0.13,-0.04,0.11,0.97,
