
time,gFx,gFy,gFz,ax,ay,az,
0.009,-0.01,0.06,0.95,0.06,-1.07,-1.33,
0.009,-0.01,0.06,0.97,0.06,-1.07,-1.33,
0.009,-0.01,0.06,0.97,0.02,-0.96,-1.06,
0.009,-0.03,0.07,0.99,0.02,-0.96,-1.06,
0.01,-0.03,0.08,0.99,0.02,-0.96,-1.06,
0.01,-0.03,0.08,0.99,-0.01,-0.83,-0.75,
0.01,-0.02,0.08,1.01,-0.01,-0.83,-0.75,
0.01,-0.01,0.08,1.00,-0.01,-0.83,-0.75,
0.01,-0.01,0.08,1.00,-0.17,-0.64,-0.45,
0.01,-0.02,0.08,1.00,-0.17,-0.64,-0.45,
0.015,-0.03,0.09,1.01,-0.17,-0.64,-0.45,
0.016,-0.03,0.09,1.01,-0.06,-0.60,-0.32,
0.016,-0.03,0.08,1.01,-0.06,-0.60,-0.32,
0.018,-0.03,0.09,1.00,-0.06,-0.60,-0.32,
0.019,-0.03,0.09,1.00,-0.12,-0.53,-0.33,
0.02,-0.03,0.10,1.00,-0.12,-0.53,-0.33,
0.027,-0.03,0.10,0.99,-0.12,-0.53,-0.33,
0.028,-0.03,0.10,0.99,-0.19,-0.51,-0.31,
0.028,-0.03,0.11,0.99,-0.19,-0.51,-0.31,
0.028,-0.03,0.11,0.98,-0.19,-0.51,-0.31,
0.028,-0.03,0.11,0.98,-0.19,-0.37,-0.39,
0.031,-0.03,0.11,0.96,-0.19,-0.37,-0.39,
0.033,-0.03,0.12,0.96,-0.19,-0.37,-0.39,
0.033,-0.03,0.12,0.96,-0.19,-0.24,-0.54,
0.036,-0.03,0.12,0.95,-0.19,-0.24,-0.54,
0.045,-0.03,0.12,0.95,-0.19,-0.24,-0.54,
0.045,-0.03,0.12,0.95,-0.25,-0.14,-0.70,
0.046,-0.03,0.12,0.94,-0.25,-0.14,-0.70,
0.046,-0.03,0.12,0.94,-0.25,-0.14,-0.70,
0.046,-0.03,0.12,0.94,-0.26,-0.09,-0.84,
0.046,-0.02,0.12,0.94,-0.26,-0.09,-0.84,
0.047,-0.02,0.12,0.94,-0.26,-0.09,-0.84,
0.048,-0.02,0.12,0.94,-0.26,-0.07,-0.89,
0.051,-0.01,0.12,0.94,-0.26,-0.07,-0.89,
0.053,-0.01,0.12,0.95,-0.26,-0.07,-0.89,
0.053,-0.01,0.12,0.95,-0.18,-0.05,-0.92,
0.061,0.00,0.12,0.95,-0.18,-0.05,-0.92,
0.062,0.00,0.12,0.95,-0.18,-0.05,-0.92,
0.062,0.00,0.12,0.95,-0.10,-0.03,-0.86,
0.063,0.01,0.11,0.95,-0.10,-0.03,-0.86,
0.063,0.01,0.11,0.95,-0.01,-0.07,-0.80,
0.063,0.02,0.10,0.96,-0.01,-0.07,-0.80,
0.065,0.02,0.10,0.96,-0.01,-0.07,-0.80,
0.067,0.02,0.09,0.97,-0.01,-0.07,-0.80,
0.067,0.02,0.09,0.97,0.06,-0.19,-0.74,
0.07,0.02,0.08,0.97,0.06,-0.19,-0.74,
0.077,0.03,0.08,0.97,0.06,-0.19,-0.74,
0.077,0.03,0.08,0.97,0.14,-0.32,-0.63,
0.078,0.03,0.07,0.97,0.14,-0.32,-0.63,
0.078,0.03,0.06,0.99,0.14,-0.32,-0.63,
0.078,0.03,0.06,0.99,0.13,-0.42,-0.60,
0.08,0.01,0.05,1.00,0.13,-0.42,-0.60,
0.083,0.00,0.05,1.00,0.13,-0.42,-0.60,
0.083,0.00,0.05,1.00,0.14,-0.53,-0.49,
0.085,-0.01,0.05,1.01,0.14,-0.53,-0.49,
0.087,-0.02,0.04,1.00,0.14,-0.53,-0.49,
0.088,-0.02,0.04,1.00,-0.09,-0.65,-0.27,
0.097,-0.02,0.05,1.01,-0.09,-0.65,-0.27,
0.098,-0.03,0.04,1.02,-0.09,-0.65,-0.27,
0.098,-0.03,0.04,1.02,-0.27,-0.70,-0.25,
0.098,-0.04,0.04,1.02,-0.27,-0.70,-0.25,
0.099,-0.04,0.04,1.03,-0.27,-0.70,-0.25,
0.099,-0.04,0.04,1.03,-0.44,-0.68,-0.16,
0.1,-0.04,0.04,1.04,-0.44,-0.68,-0.16,
0.103,-0.07,0.06,1.04,-0.44,-0.68,-0.16,
0.103,-0.07,0.06,1.04,-0.59,-0.71,-0.04,
0.114,-0.09,0.07,1.05,-0.59,-0.71,-0.04,
0.114,-0.09,0.06,1.05,-0.59,-0.71,-0.04,
0.115,-0.09,0.06,1.05,-0.78,-0.60,0.10,
0.115,-0.10,0.07,1.07,-0.78,-0.60,0.10,
0.115,-0.10,0.07,1.07,-1.10,-0.45,0.21,
0.115,-0.10,0.07,1.07,-1.10,-0.45,0.21,
0.115,-0.10,0.07,1.08,-1.10,-0.45,0.21,
