
time,gFx,gFy,gFz,ax,ay,az,
0.003,-0.05,0.10,0.93,-0.01,0.38,-0.59,
0.004,-0.06,0.10,0.92,-0.01,0.38,-0.59,
0.004,-0.06,0.10,0.92,-0.01,0.38,-0.59,
0.004,-0.06,0.10,0.93,-0.01,0.38,-0.59,
0.004,-0.06,0.10,0.93,-0.07,0.41,-0.71,
0.004,-0.06,0.11,0.93,-0.07,0.41,-0.71,
0.005,-0.06,0.11,0.93,-0.07,0.41,-0.71,
0.005,-0.06,0.11,0.93,-0.13,0.43,-0.74,
0.008,-0.06,0.11,0.92,-0.13,0.43,-0.74,
0.008,-0.06,0.11,0.92,-0.12,0.49,-0.73,
0.008,-0.07,0.11,0.93,-0.12,0.49,-0.73,
0.011,-0.07,0.11,0.93,-0.12,0.49,-0.73,
0.013,-0.07,0.10,0.93,-0.12,0.49,-0.73,
0.013,-0.07,0.10,0.93,-0.17,0.47,-0.71,
0.018,-0.08,0.10,0.92,-0.17,0.47,-0.71,
0.018,-0.07,0.10,0.93,-0.17,0.47,-0.71,
0.018,-0.07,0.10,0.93,-0.23,0.41,-0.68,
0.021,-0.08,0.10,0.93,-0.23,0.41,-0.68,
0.023,-0.08,0.09,0.94,-0.23,0.41,-0.68,
0.024,-0.08,0.09,0.94,-0.26,0.37,-0.71,
0.026,-0.08,0.09,0.94,-0.26,0.37,-0.71,
0.028,-0.08,0.09,0.94,-0.26,0.37,-0.71,
0.028,-0.08,0.09,0.94,-0.29,0.29,-0.61,
0.031,-0.08,0.09,0.94,-0.29,0.29,-0.61,
0.035,-0.08,0.09,0.95,-0.29,0.29,-0.61,
0.035,-0.08,0.09,0.95,-0.32,0.24,-0.55,
0.036,-0.08,0.09,0.95,-0.32,0.24,-0.55,
0.038,-0.08,0.09,0.95,-0.32,0.24,-0.55,
0.038,-0.08,0.09,0.95,-0.31,0.20,-0.51,
0.04,-0.08,0.09,0.96,-0.31,0.20,-0.51,
0.043,-0.08,0.09,0.96,-0.31,0.21,-0.45,
0.043,-0.08,0.09,0.96,-0.31,0.21,-0.45,
0.046,-0.08,0.08,0.97,-0.31,0.21,-0.45,
0.048,-0.08,0.08,0.97,-0.31,0.20,-0.36,
0.049,-0.08,0.08,0.96,-0.31,0.20,-0.36,
0.051,-0.08,0.08,0.96,-0.31,0.20,-0.36,
0.053,-0.07,0.08,0.96,-0.31,0.20,-0.36,
0.054,-0.07,0.08,0.96,-0.28,0.15,-0.31,
0.056,-0.07,0.08,0.96,-0.28,0.15,-0.31,
0.058,-0.07,0.08,0.97,-0.28,0.15,-0.31,
0.058,-0.07,0.08,0.97,-0.24,0.13,-0.31,
0.061,-0.07,0.08,0.97,-0.24,0.13,-0.31,
0.063,-0.07,0.08,0.97,-0.24,0.13,-0.31,
0.064,-0.07,0.08,0.97,-0.21,0.12,-0.28,
0.066,-0.06,0.07,0.97,-0.21,0.12,-0.28,
0.068,-0.06,0.07,0.97,-0.21,0.12,-0.28,
0.069,-0.06,0.07,0.97,-0.17,0.10,-0.23,
0.071,-0.06,0.07,0.97,-0.17,0.10,-0.23,
0.073,-0.06,0.07,0.97,-0.13,0.06,-0.23,
0.073,-0.06,0.07,0.97,-0.13,0.06,-0.23,
0.075,-0.05,0.07,0.96,-0.13,0.06,-0.23,
0.078,-0.05,0.07,0.96,-0.13,0.06,-0.23,
0.079,-0.05,0.07,0.96,-0.09,0.05,-0.27,
0.081,-0.05,0.07,0.96,-0.09,0.05,-0.27,
0.089,-0.04,0.07,0.95,-0.09,0.05,-0.27,
0.089,-0.04,0.07,0.95,-0.03,0.05,-0.30,
0.09,-0.03,0.06,0.95,-0.03,0.05,-0.30,
0.09,-0.03,0.06,0.95,0.06,0.01,-0.37,
0.09,-0.03,0.06,0.95,0.06,0.01,-0.37,
0.09,-0.03,0.06,0.95,0.06,0.01,-0.37,
0.092,-0.02,0.05,0.94,0.06,0.01,-0.37,
0.092,-0.02,0.05,0.94,0.15,-0.07,-0.42,
0.095,-0.02,0.05,0.95,0.15,-0.07,-0.42,
0.098,-0.01,0.05,0.94,0.15,-0.07,-0.42,
0.098,-0.01,0.05,0.94,0.24,-0.10,-0.46,
0.101,-0.00,0.05,0.94,0.24,-0.10,-0.46,
0.103,-0.00,0.05,0.94,0.24,-0.10,-0.46,
0.103,-0.00,0.05,0.94,0.32,-0.13,-0.49,
0.105,0.00,0.05,0.93,0.32,-0.13,-0.49,
0.107,0.02,0.04,0.93,0.32,-0.13,-0.49,
0.107,0.02,0.04,0.93,0.41,-0.18,-0.55,
0.11,0.02,0.04,0.93,0.41,-0.18,-0.55,
0.113,0.03,0.04,0.93,0.41,-0.18,-0.55,
0.113,0.03,0.04,0.93,0.52,-0.22,-0.64,
0.116,0.04,0.04,0.92,0.52,-0.22,-0.64,
0.119,0.05,0.05,0.92,0.52,-0.22,-0.64,
0.119,0.05,0.05,0.92,0.66,-0.25,-0.64,
0.121,0.05,0.04,0.92,0.66,-0.25,-0.64,
0.123,0.05,0.04,0.92,0.82,-0.21,-0.69,
0.123,0.06,0.04,0.92,0.82,-0.21,-0.69,
0.125,0.06,0.04,0.92,0.82,-0.21,-0.69,
0.128,0.07,0.03,0.91,0.82,-0.21,-0.69,
0.128,0.07,0.03,0.91,0.89,-0.23,-0.67,
0.13,0.07,0.03,0.92,0.89,-0.23,-0.67,
0.133,0.07,0.03,0.92,0.89,-0.23,-0.67,
0.133,0.07,0.03,0.92,0.99,-0.30,-0.72,
0.136,0.07,0.03,0.92,0.99,-0.30,-0.72,
0.137,0.08,0.02,0.92,0.99,-0.30,-0.72,
0.139,0.08,0.02,0.92,1.07,-0.33,-0.68,
0.14,0.08,0.03,0.92,1.07,-0.33,-0.68,
0.142,0.08,0.02,0.92,1.07,-0.33,-0.68,
0.142,0.08,0.02,0.92,1.07,-0.39,-0.65,
0.146,0.08,0.03,0.93,1.07,-0.39,-0.65,
0.148,0.08,0.03,0.93,1.12,-0.39,-0.67,
0.148,0.08,0.03,0.92,1.12,-0.39,-0.67,
0.153,0.08,0.03,0.92,1.12,-0.39,-0.67,
0.153,0.08,0.03,0.92,1.12,-0.39,-0.67,
0.154,0.08,0.03,0.92,1.11,-0.37,-0.61,
0.155,0.08,0.03,0.92,1.11,-0.37,-0.61,
0.158,0.08,0.03,0.93,1.11,-0.37,-0.61,
0.161,0.08,0.03,0.93,1.12,-0.35,-0.62,
0.161,0.08,0.03,0.93,1.12,-0.35,-0.62,
0.162,0.08,0.03,0.93,1.11,-0.32,-0.60,
0.162,0.08,0.04,0.93,1.11,-0.32,-0.60,
0.165,0.08,0.04,0.92,1.11,-0.32,-0.60,
0.168,0.08,0.04,0.92,1.11,-0.32,-0.60,
0.168,0.08,0.04,0.92,1.11,-0.29,-0.56,
0.17,0.08,0.04,0.92,1.11,-0.29,-0.56,
0.172,0.08,0.04,0.92,1.10,-0.22,-0.61,
0.173,0.08,0.04,0.92,1.10,-0.22,-0.61,
0.175,0.07,0.05,0.91,1.10,-0.22,-0.61,
0.178,0.08,0.05,0.91,1.10,-0.22,-0.61,
0.178,0.08,0.05,0.91,1.06,-0.24,-0.63,
0.18,0.07,0.05,0.91,1.06,-0.24,-0.63,
0.182,0.07,0.05,0.90,1.06,-0.24,-0.63,
0.183,0.07,0.05,0.90,1.04,-0.17,-0.72,
0.185,0.06,0.05,0.90,1.04,-0.17,-0.72,
0.187,0.06,0.06,0.89,1.04,-0.17,-0.72,
0.188,0.06,0.06,0.89,1.00,-0.14,-0.80,
0.19,0.05,0.06,0.88,1.00,-0.14,-0.80,
0.193,0.05,0.06,0.88,1.00,-0.14,-0.80,
0.193,0.05,0.06,0.88,0.86,-0.09,-0.88,
0.195,0.04,0.06,0.88,0.86,-0.09,-0.88,
0.198,0.04,0.06,0.88,0.77,-0.06,-1.01,
0.198,0.03,0.07,0.87,0.77,-0.06,-1.01,
0.2,0.03,0.07,0.87,0.77,-0.06,-1.01,
0.208,0.02,0.07,0.87,0.77,-0.06,-1.01,
0.209,0.02,0.07,0.87,0.65,-0.03,-1.07,
0.209,0.02,0.07,0.87,0.65,-0.03,-1.07,
0.21,0.02,0.07,0.86,0.65,-0.03,-1.07,
0.21,0.02,0.07,0.86,0.53,0.00,-1.12,
0.211,0.01,0.08,0.86,0.53,0.00,-1.12,
0.211,0.01,0.08,0.85,0.53,0.00,-1.12,
0.211,0.01,0.08,0.85,0.44,0.05,-1.16,
0.213,0.01,0.08,0.85,0.44,0.05,-1.16,
0.225,0.01,0.08,0.85,0.44,0.05,-1.16,
0.226,0.01,0.08,0.85,0.38,0.07,-1.24,
0.226,0.00,0.08,0.85,0.38,0.07,-1.24,
0.227,0.00,0.08,0.85,0.34,0.10,-1.30,
0.227,-0.00,0.07,0.85,0.34,0.10,-1.30,
0.227,-0.00,0.07,0.84,0.34,0.10,-1.30,
0.228,0.00,0.07,0.85,0.34,0.10,-1.30,
0.228,0.00,0.07,0.85,0.29,0.05,-1.26,
0.228,-0.00,0.07,0.85,0.29,0.05,-1.26,
0.231,-0.01,0.06,0.84,0.29,0.05,-1.26,
0.232,-0.01,0.06,0.84,0.29,0.02,-1.29,
0.234,0.00,0.05,0.84,0.29,0.02,-1.29,
0.236,0.00,0.05,0.84,0.25,-0.07,-1.28,
0.237,0.01,0.05,0.86,0.25,-0.07,-1.28,
0.239,0.01,0.05,0.86,0.25,-0.07,-1.28,
0.241,0.01,0.05,0.86,0.25,-0.07,-1.28,
0.241,0.01,0.05,0.86,0.34,-0.17,-1.23,
0.244,0.02,0.06,0.85,0.34,-0.17,-1.23,
0.246,0.02,0.06,0.85,0.40,-0.19,-1.12,
0.246,0.02,0.06,0.86,0.40,-0.19,-1.12,
0.248,0.03,0.06,0.87,0.40,-0.19,-1.12,
0.253,0.03,0.05,0.87,0.40,-0.19,-1.12,
0.254,0.03,0.05,0.87,0.50,-0.16,-1.15,
0.254,0.04,0.05,0.86,0.50,-0.16,-1.15,
0.257,0.04,0.06,0.86,0.50,-0.16,-1.15,
0.257,0.04,0.06,0.86,0.63,-0.18,-1.06,
0.259,0.05,0.06,0.87,0.63,-0.18,-1.06,
0.262,0.05,0.06,0.87,0.73,-0.17,-1.07,
0.262,0.05,0.05,0.88,0.73,-0.17,-1.07,
0.264,0.05,0.05,0.88,0.73,-0.17,-1.07,
0.267,0.05,0.05,0.89,0.73,-0.17,-1.07,
0.267,0.05,0.05,0.89,0.79,-0.18,-0.95,
0.27,0.05,0.05,0.90,0.79,-0.18,-0.95,
0.271,0.05,0.05,0.90,0.79,-0.18,-0.95,
0.272,0.05,0.05,0.90,0.77,-0.21,-0.84,
0.274,0.05,0.05,0.90,0.77,-0.21,-0.84,
0.277,0.04,0.05,0.90,0.77,-0.21,-0.84,
0.277,0.04,0.05,0.90,0.79,-0.21,-0.69,
0.279,0.04,0.05,0.90,0.79,-0.21,-0.69,
0.281,0.04,0.05,0.90,0.79,-0.21,-0.69,
0.281,0.04,0.05,0.90,0.74,-0.19,-0.68,
0.284,0.04,0.06,0.90,0.74,-0.19,-0.68,
0.286,0.03,0.06,0.90,0.74,-0.19,-0.68,
0.287,0.03,0.06,0.90,0.68,-0.21,-0.65,
0.289,0.04,0.06,0.89,0.68,-0.21,-0.65,
0.291,0.04,0.06,0.89,0.66,-0.17,-0.69,
0.291,0.03,0.05,0.89,0.66,-0.17,-0.69,
0.294,0.03,0.05,0.89,0.66,-0.17,-0.69,
0.296,0.03,0.05,0.89,0.65,-0.19,-0.76,
0.296,0.02,0.05,0.87,0.65,-0.19,-0.76,
0.299,0.02,0.05,0.87,0.65,-0.19,-0.76,
0.301,0.02,0.05,0.87,0.65,-0.19,-0.76,
0.301,0.02,0.05,0.87,0.53,-0.27,-0.85,
0.309,0.03,0.05,0.88,0.53,-0.27,-0.85,
0.31,0.03,0.05,0.87,0.53,-0.27,-0.85,
0.31,0.03,0.05,0.87,0.51,-0.23,-0.93,
0.311,0.02,0.06,0.86,0.51,-0.23,-0.93,
0.311,0.02,0.06,0.86,0.51,-0.23,-0.93,
0.311,0.02,0.06,0.86,0.56,-0.22,-0.93,
0.313,0.02,0.06,0.85,0.56,-0.22,-0.93,
0.315,0.02,0.06,0.84,0.56,-0.22,-0.93,
0.315,0.02,0.06,0.84,0.51,-0.18,-1.06,
0.319,0.02,0.05,0.84,0.51,-0.18,-1.06,
0.32,0.02,0.05,0.84,0.46,-0.18,-1.20,
0.321,0.01,0.06,0.83,0.46,-0.18,-1.20,
0.325,0.00,0.06,0.84,0.46,-0.18,-1.20,
0.325,-0.00,0.06,0.84,0.46,-0.18,-1.20,
0.325,-0.00,0.06,0.84,0.40,-0.21,-1.26,
0.328,-0.01,0.06,0.84,0.40,-0.21,-1.26,
0.33,-0.01,0.06,0.84,0.40,-0.21,-1.26,
0.331,-0.01,0.06,0.84,0.28,-0.21,-1.26,
0.333,-0.01,0.06,0.85,0.28,-0.21,-1.26,
0.335,-0.01,0.06,0.85,0.21,-0.21,-1.23,
0.336,-0.01,0.06,0.84,0.21,-0.21,-1.23,
0.34,-0.02,0.07,0.85,0.21,-0.21,-1.23,
0.34,-0.02,0.07,0.86,0.21,-0.21,-1.23,
0.34,-0.02,0.07,0.86,0.17,-0.16,-1.16,
0.342,-0.01,0.07,0.87,0.17,-0.16,-1.16,
0.345,-0.01,0.07,0.87,0.15,-0.08,-1.07,
0.345,-0.02,0.07,0.89,0.15,-0.08,-1.07,
0.348,-0.03,0.07,0.90,0.15,-0.08,-1.07,
0.35,-0.02,0.07,0.91,0.15,-0.08,-1.07,
0.35,-0.02,0.07,0.91,0.15,-0.08,-0.84,
0.353,-0.01,0.08,0.93,0.15,-0.08,-0.84,
0.355,-0.01,0.08,0.93,0.15,-0.08,-0.84,
0.355,-0.01,0.08,0.93,0.11,-0.06,-0.55,
0.358,-0.01,0.08,0.95,0.11,-0.06,-0.55,
0.36,-0.01,0.08,0.96,0.11,-0.06,-0.55,
0.36,-0.01,0.08,0.96,0.22,-0.01,-0.30,
0.363,-0.01,0.09,0.97,0.22,-0.01,-0.30,
0.365,-0.01,0.09,0.98,0.22,-0.01,-0.30,
0.365,-0.01,0.09,0.98,0.29,0.05,-0.05,
0.367,-0.00,0.08,0.99,0.29,0.05,-0.05,
0.369,-0.00,0.08,0.99,0.31,0.10,0.15,
0.37,-0.01,0.08,1.00,0.31,0.10,0.15,
0.372,-0.00,0.07,1.00,0.31,0.10,0.15,
0.375,-0.00,0.07,1.01,0.31,0.10,0.15,
0.375,-0.00,0.07,1.01,0.34,0.03,0.34,
0.378,-0.00,0.06,1.01,0.34,0.03,0.34,
0.38,0.00,0.05,1.00,0.34,0.03,0.34,
0.381,0.00,0.05,1.00,0.35,-0.04,0.44,
0.383,0.01,0.05,1.00,0.35,-0.04,0.44,
0.386,0.01,0.05,1.00,0.40,-0.18,0.40,
0.387,0.00,0.05,0.99,0.40,-0.18,0.40,
0.387,0.01,0.05,0.99,0.40,-0.18,0.40,
0.39,0.00,0.05,0.99,0.40,-0.18,0.40,
0.391,0.00,0.05,0.99,0.44,-0.22,0.35,
0.393,0.00,0.04,0.99,0.44,-0.22,0.35,
0.395,0.00,0.04,0.99,0.43,-0.25,0.28,
0.396,-0.00,0.04,1.00,0.43,-0.25,0.28,
0.398,-0.01,0.04,1.01,0.43,-0.25,0.28,
0.4,-0.01,0.03,1.02,0.43,-0.25,0.28,
0.4,-0.01,0.03,1.02,0.40,-0.33,0.31,
