
time,gFx,gFy,gFz,ax,ay,az,
0.002,0.10,0.11,0.97,0.11,0.13,0.00,
0.002,0.10,0.11,0.97,-0.04,0.08,-0.14,
0.002,0.10,0.11,0.97,-0.04,0.08,-0.14,
0.003,0.09,0.11,0.98,-0.04,0.08,-0.14,
0.004,0.09,0.11,0.98,-0.11,0.02,-0.26,
0.006,0.10,0.11,0.97,-0.11,0.02,-0.26,
0.008,0.11,0.11,0.97,-0.11,0.02,-0.26,
0.008,0.11,0.11,0.97,-0.15,-0.04,-0.21,
0.011,0.11,0.10,0.98,-0.15,-0.04,-0.21,
0.014,0.11,0.10,0.99,-0.15,-0.04,-0.21,
0.015,0.11,0.10,0.99,-0.06,-0.04,-0.22,
0.016,0.11,0.10,1.00,-0.06,-0.04,-0.22,
0.018,0.11,0.10,1.00,-0.06,-0.04,-0.22,
0.018,0.11,0.10,1.00,-0.04,-0.13,-0.07,
0.02,0.11,0.10,1.01,-0.04,-0.13,-0.07,
0.023,0.11,0.10,1.01,-0.02,-0.13,0.05,
0.023,0.11,0.10,1.01,-0.02,-0.13,0.05,
0.025,0.11,0.10,1.01,-0.02,-0.13,0.05,
0.031,0.11,0.10,1.01,0.00,-0.18,0.13,
0.031,0.11,0.10,1.02,0.00,-0.18,0.13,
0.031,0.11,0.10,1.02,0.00,-0.18,0.13,
0.033,0.11,0.10,1.02,0.00,-0.18,0.13,
0.033,0.11,0.10,1.02,-0.00,-0.16,0.21,
0.035,0.11,0.10,1.01,-0.00,-0.16,0.21,
0.038,0.11,0.10,1.02,-0.00,-0.16,0.21,
0.038,0.11,0.10,1.02,-0.04,-0.15,0.22,
0.04,0.10,0.10,1.02,-0.04,-0.15,0.22,
0.043,0.11,0.10,1.02,-0.04,-0.15,0.22,
0.043,0.11,0.10,1.02,-0.01,-0.15,0.22,
0.048,0.10,0.11,1.01,-0.01,-0.15,0.22,
0.049,0.10,0.11,1.01,-0.01,-0.15,0.22,
