
time,gFx,gFy,gFz,ax,ay,az,
0.006,-0.00,0.13,0.99,-0.04,-0.02,0.07,
0.006,-0.00,0.13,0.99,-0.04,-0.02,0.07,
0.007,-0.00,0.13,0.99,0.02,0.02,-0.01,
0.007,-0.00,0.14,1.00,0.02,0.02,-0.01,
0.007,-0.00,0.14,1.00,0.07,0.02,-0.03,
0.007,0.00,0.14,0.99,0.07,0.02,-0.03,
0.007,0.00,0.14,0.98,0.07,0.02,-0.03,
0.009,0.00,0.14,0.98,0.10,0.14,-0.00,
0.009,0.01,0.15,0.99,0.10,0.14,-0.00,
0.01,0.01,0.15,1.00,0.10,0.14,-0.00,
0.013,0.01,0.14,0.99,0.10,0.14,-0.00,
0.013,0.01,0.14,0.99,0.17,0.15,-0.10,
0.015,0.00,0.14,0.99,0.17,0.15,-0.10,
0.018,0.01,0.14,0.99,0.17,0.15,-0.10,
0.018,0.01,0.14,0.99,0.19,0.14,-0.03,
0.021,0.01,0.14,0.98,0.19,0.14,-0.03,
0.023,0.01,0.14,0.98,0.19,0.14,-0.03,
0.023,0.01,0.14,0.98,0.16,0.12,-0.05,
0.029,0.01,0.14,0.98,0.16,0.12,-0.05,
0.029,0.01,0.14,0.98,0.16,0.12,-0.05,
0.029,0.01,0.14,0.98,0.19,0.08,-0.12,
0.03,0.00,0.14,0.98,0.19,0.08,-0.12,
0.033,0.00,0.14,0.98,0.16,0.05,-0.13,
0.033,0.01,0.14,0.98,0.16,0.05,-0.13,
0.035,0.00,0.14,0.97,0.16,0.05,-0.13,
0.038,0.00,0.14,0.97,0.13,0.08,-0.15,
0.038,0.00,0.14,0.98,0.13,0.08,-0.15,
0.04,0.00,0.14,0.98,0.13,0.08,-0.15,
0.044,0.00,0.14,0.98,0.13,0.08,-0.15,
0.045,0.00,0.14,0.98,0.12,0.08,-0.18,
0.045,-0.00,0.14,0.99,0.12,0.08,-0.18,
0.048,-0.00,0.13,0.98,0.12,0.08,-0.18,
0.048,-0.00,0.13,0.98,0.09,0.08,-0.13,
0.05,-0.00,0.14,0.99,0.09,0.08,-0.13,
0.053,-0.00,0.14,0.99,0.06,0.03,-0.09,
0.053,-0.00,0.13,0.99,0.06,0.03,-0.09,
0.055,0.00,0.13,1.00,0.06,0.03,-0.09,
0.058,0.00,0.13,1.00,0.04,0.02,-0.04,
0.058,-0.00,0.13,1.00,0.04,0.02,-0.04,
0.061,-0.00,0.13,1.01,0.04,0.02,-0.04,
0.062,0.00,0.13,1.01,0.04,0.02,-0.04,
0.063,0.00,0.13,1.01,0.06,-0.01,0.06,
0.064,0.00,0.12,1.02,0.06,-0.01,0.06,
0.068,0.00,0.12,1.02,0.06,-0.01,0.06,
0.068,0.00,0.12,1.02,0.06,-0.04,0.15,
0.07,0.01,0.12,1.03,0.06,-0.04,0.15,
0.073,0.01,0.12,1.03,0.06,-0.04,0.15,
0.073,0.01,0.12,1.03,0.09,-0.09,0.25,
0.075,0.01,0.11,1.04,0.09,-0.09,0.25,
0.08,0.01,0.11,1.04,0.09,-0.09,0.25,
0.081,0.01,0.11,1.04,0.15,-0.12,0.35,
0.081,0.02,0.11,1.03,0.15,-0.12,0.35,
0.082,0.02,0.11,1.03,0.15,-0.16,0.40,
0.082,0.02,0.11,1.04,0.15,-0.16,0.40,
0.084,0.02,0.11,1.04,0.15,-0.16,0.40,
0.087,0.02,0.11,1.04,0.22,-0.20,0.37,
0.087,0.02,0.10,1.04,0.22,-0.20,0.37,
0.09,0.01,0.10,1.04,0.22,-0.20,0.37,
0.094,0.02,0.10,1.03,0.22,-0.20,0.37,
0.095,0.02,0.10,1.03,0.21,-0.24,0.41,
0.095,0.02,0.10,1.03,0.21,-0.24,0.41,
0.097,0.02,0.10,1.02,0.21,-0.24,0.41,
0.097,0.02,0.10,1.02,0.23,-0.28,0.37,
0.099,0.02,0.10,1.02,0.23,-0.28,0.37,
0.102,0.02,0.10,1.02,0.25,-0.31,0.29,
0.103,0.02,0.11,1.01,0.25,-0.31,0.29,
0.104,0.02,0.11,1.00,0.25,-0.31,0.29,
0.107,0.02,0.11,1.00,0.27,-0.27,0.18,
0.107,0.02,0.11,1.00,0.27,-0.27,0.18,
0.109,0.03,0.11,0.99,0.27,-0.27,0.18,
0.112,0.03,0.12,0.99,0.27,-0.27,0.18,
0.113,0.03,0.12,0.99,0.27,-0.23,0.05,
0.114,0.03,0.12,0.98,0.27,-0.23,0.05,
0.117,0.03,0.13,0.97,0.27,-0.23,0.05,
0.117,0.03,0.13,0.97,0.32,-0.16,-0.09,
0.12,0.04,0.13,0.96,0.32,-0.16,-0.09,
0.122,0.04,0.13,0.96,0.32,-0.16,-0.09,
0.123,0.04,0.13,0.96,0.34,-0.08,-0.20,
0.126,0.04,0.14,0.96,0.34,-0.08,-0.20,
0.126,0.04,0.13,0.95,0.34,-0.08,-0.20,
0.127,0.04,0.13,0.95,0.38,-0.03,-0.35,
0.129,0.04,0.13,0.95,0.38,-0.03,-0.35,
0.132,0.04,0.13,0.95,0.43,0.00,-0.43,
0.132,0.04,0.13,0.95,0.43,0.00,-0.43,
0.134,0.04,0.13,0.95,0.43,0.00,-0.43,
0.136,0.04,0.13,0.94,0.43,0.00,-0.43,
0.137,0.04,0.13,0.94,0.42,-0.02,-0.45,
