
time,gFx,gFy,gFz,ax,ay,az,
0.004,-0.04,0.20,0.98,-0.15,-0.24,-0.14,
0.005,-0.04,0.20,0.99,-0.15,-0.24,-0.14,
0.005,-0.04,0.20,0.99,-0.14,-0.19,0.00,
0.006,-0.03,0.21,0.99,-0.14,-0.19,0.00,
0.006,-0.03,0.21,1.00,-0.14,-0.19,0.00,
0.006,-0.03,0.21,1.00,-0.10,-0.11,0.08,
0.006,-0.03,0.21,1.00,-0.10,-0.11,0.08,
0.01,-0.03,0.22,1.00,-0.10,-0.11,0.08,
0.011,-0.03,0.22,1.00,-0.04,-0.03,0.18,
0.011,-0.03,0.22,1.01,-0.04,-0.03,0.18,
0.021,-0.02,0.22,1.01,-0.04,-0.03,0.18,
0.021,-0.02,0.22,1.01,-0.01,0.03,0.23,
0.022,-0.03,0.22,1.01,-0.01,0.03,0.23,
0.022,-0.03,0.22,1.01,0.07,0.05,0.31,
0.022,-0.03,0.22,1.01,0.07,0.05,0.31,
0.022,-0.03,0.22,1.01,0.07,0.05,0.31,
0.022,-0.02,0.22,1.01,0.07,0.05,0.31,
0.023,-0.02,0.22,1.01,0.05,0.11,0.31,
0.025,-0.02,0.22,1.01,0.05,0.11,0.31,
0.028,-0.02,0.21,1.00,0.05,0.11,0.31,
0.028,-0.02,0.21,1.00,0.09,0.11,0.32,
0.039,-0.02,0.21,1.00,0.09,0.11,0.32,
0.04,-0.02,0.21,1.00,0.14,0.08,0.26,
0.04,-0.02,0.21,0.99,0.14,0.08,0.26,
0.04,-0.02,0.20,0.99,0.14,0.08,0.26,
0.04,-0.02,0.20,0.99,0.13,0.02,0.18,
0.041,-0.02,0.20,0.98,0.13,0.02,0.18,
0.041,-0.03,0.20,0.96,0.13,0.02,0.18,
0.043,-0.03,0.20,0.96,0.13,0.02,0.18,
0.043,-0.03,0.20,0.96,0.08,-0.03,0.08,
0.046,-0.03,0.20,0.96,0.08,-0.03,0.08,
0.055,-0.03,0.20,0.96,0.08,-0.03,0.08,
0.056,-0.03,0.20,0.96,0.04,-0.03,-0.16,
0.056,-0.04,0.19,0.96,0.04,-0.03,-0.16,
0.056,-0.04,0.19,0.96,0.04,-0.03,-0.16,
0.057,-0.04,0.19,0.96,0.00,-0.07,-0.18,
0.057,-0.04,0.19,0.97,0.00,-0.07,-0.18,
0.058,-0.04,0.19,0.97,-0.05,-0.11,-0.16,
0.059,-0.04,0.19,0.97,-0.05,-0.11,-0.16,
0.06,-0.05,0.19,0.96,-0.05,-0.11,-0.16,
0.063,-0.05,0.20,0.96,-0.05,-0.11,-0.16,
0.063,-0.05,0.20,0.96,-0.10,-0.10,-0.12,
0.075,-0.05,0.20,0.95,-0.10,-0.10,-0.12,
0.076,-0.05,0.20,0.95,-0.10,-0.10,-0.12,
0.076,-0.05,0.20,0.95,-0.15,-0.08,-0.22,
0.076,-0.05,0.20,0.94,-0.15,-0.08,-0.22,
0.077,-0.05,0.20,0.94,-0.15,-0.08,-0.22,
0.077,-0.05,0.20,0.94,-0.19,-0.03,-0.28,
0.077,-0.05,0.21,0.94,-0.19,-0.03,-0.28,
0.077,-0.05,0.21,0.94,-0.19,-0.03,-0.28,
0.078,-0.05,0.21,0.94,-0.18,0.00,-0.34,
0.08,-0.05,0.21,0.93,-0.18,0.00,-0.34,
0.089,-0.04,0.21,0.93,-0.18,0.00,-0.34,
0.089,-0.04,0.21,0.93,-0.19,0.06,-0.40,
0.089,-0.04,0.22,0.93,-0.19,0.06,-0.40,
0.09,-0.04,0.22,0.92,-0.19,0.06,-0.40,
0.09,-0.04,0.22,0.92,-0.16,0.15,-0.46,
0.09,-0.04,0.22,0.92,-0.16,0.15,-0.46,
0.093,-0.03,0.22,0.92,-0.16,0.15,-0.46,
0.093,-0.03,0.22,0.92,-0.11,0.20,-0.52,
0.096,-0.03,0.23,0.93,-0.11,0.20,-0.52,
0.105,-0.02,0.23,0.93,-0.11,0.20,-0.52,
0.106,-0.02,0.23,0.93,-0.08,0.26,-0.53,
0.106,-0.02,0.22,0.94,-0.08,0.26,-0.53,
0.107,-0.01,0.22,0.94,-0.08,0.26,-0.53,
0.107,-0.01,0.22,0.94,-0.02,0.33,-0.47,
0.107,-0.00,0.22,0.95,-0.02,0.33,-0.47,
0.107,0.00,0.22,0.96,-0.02,0.33,-0.47,
0.107,0.00,0.22,0.96,0.06,0.27,-0.36,
0.11,0.00,0.22,0.98,0.06,0.27,-0.36,
0.112,0.01,0.22,0.99,0.06,0.27,-0.36,
0.113,0.01,0.22,0.99,0.19,0.31,-0.21,
0.119,0.02,0.21,1.00,0.19,0.31,-0.21,
0.12,0.02,0.21,1.01,0.19,0.31,-0.21,
0.12,0.02,0.21,1.01,0.24,0.29,0.06,
0.121,0.02,0.21,1.02,0.24,0.29,0.06,
0.122,0.03,0.21,1.03,0.24,0.29,0.06,
0.122,0.03,0.21,1.03,0.35,0.24,0.28,
0.124,0.03,0.20,1.04,0.35,0.24,0.28,
0.127,0.02,0.21,1.05,0.35,0.24,0.28,
0.127,0.02,0.21,1.05,0.39,0.26,0.44,
0.129,0.02,0.20,1.05,0.39,0.26,0.44,
0.137,0.03,0.20,1.06,0.39,0.26,0.44,
0.138,0.03,0.20,1.06,0.40,0.24,0.62,
0.138,0.03,0.20,1.06,0.40,0.24,0.62,
0.138,0.03,0.20,1.07,0.40,0.24,0.62,
0.139,0.03,0.20,1.07,0.41,0.23,0.71,
0.139,0.03,0.20,1.07,0.41,0.23,0.71,
0.141,0.03,0.20,1.07,0.41,0.23,0.71,
0.142,0.03,0.20,1.07,0.43,0.24,0.82,
0.144,0.02,0.20,1.07,0.43,0.24,0.82,
0.153,0.03,0.20,1.07,0.43,0.24,0.82,
0.154,0.03,0.20,1.07,0.46,0.24,0.86,
0.154,0.02,0.20,1.07,0.46,0.24,0.86,
0.154,0.02,0.20,1.06,0.46,0.24,0.86,
0.154,0.02,0.20,1.06,0.42,0.25,0.82,
0.155,0.02,0.21,1.05,0.42,0.25,0.82,
0.157,0.01,0.21,1.05,0.42,0.25,0.82,
0.157,0.01,0.21,1.05,0.39,0.26,0.81,
0.159,0.01,0.21,1.05,0.39,0.26,0.81,
0.161,0.01,0.21,1.04,0.39,0.26,0.81,
0.162,0.01,0.21,1.04,0.34,0.30,0.63,
0.164,0.00,0.20,1.04,0.34,0.30,0.63,
0.17,0.00,0.21,1.03,0.34,0.30,0.63,
0.17,0.00,0.21,1.03,0.30,0.29,0.56,
0.171,-0.00,0.20,1.02,0.30,0.29,0.56,
0.171,-0.01,0.20,1.02,0.30,0.29,0.56,
0.171,-0.01,0.20,1.02,0.27,0.29,0.45,
0.174,-0.01,0.20,1.01,0.27,0.29,0.45,
0.177,-0.01,0.20,1.01,0.27,0.29,0.45,
0.177,-0.01,0.20,1.01,0.20,0.27,0.30,
0.179,-0.02,0.20,1.00,0.20,0.27,0.30,
0.19,-0.02,0.20,1.00,0.20,0.27,0.30,
0.191,-0.02,0.20,1.00,0.14,0.26,0.24,
0.191,-0.03,0.20,1.00,0.14,0.26,0.24,
0.192,-0.03,0.20,0.99,0.14,0.26,0.24,
0.192,-0.03,0.20,0.99,0.06,0.23,0.14,
0.192,-0.03,0.19,0.99,0.06,0.23,0.14,
0.192,-0.03,0.19,0.98,0.06,0.23,0.14,
0.192,-0.03,0.19,0.98,0.01,0.19,0.07,
0.194,-0.04,0.19,0.99,0.01,0.19,0.07,
0.197,-0.05,0.19,0.99,0.01,0.19,0.07,
0.197,-0.05,0.19,0.99,-0.06,0.14,-0.02,
0.199,-0.05,0.19,1.00,-0.06,0.14,-0.02,
0.202,-0.06,0.19,0.99,-0.06,0.14,-0.02,
0.202,-0.06,0.19,0.99,-0.15,0.14,-0.01,
0.204,-0.07,0.19,0.99,-0.15,0.14,-0.01,
0.206,-0.08,0.19,0.99,-0.15,0.14,-0.01,
0.207,-0.08,0.19,0.99,-0.29,0.12,0.04,
0.209,-0.08,0.20,0.99,-0.29,0.12,0.04,
0.211,-0.09,0.20,0.99,-0.29,0.12,0.04,
0.211,-0.09,0.20,0.99,-0.42,0.12,0.02,
0.215,-0.10,0.20,0.99,-0.42,0.12,0.02,
0.216,-0.10,0.20,0.99,-0.42,0.12,0.02,
0.216,-0.10,0.20,0.99,-0.55,0.18,0.01,
0.218,-0.11,0.20,1.00,-0.55,0.18,0.01,
0.221,-0.11,0.21,0.99,-0.55,0.18,0.01,
0.221,-0.11,0.21,0.99,-0.68,0.20,0.04,
0.224,-0.12,0.21,0.99,-0.68,0.20,0.04,
0.225,-0.12,0.21,0.99,-0.68,0.20,0.04,
0.226,-0.12,0.21,0.99,-0.76,0.26,0.05,
0.229,-0.13,0.21,0.98,-0.76,0.26,0.05,
0.231,-0.13,0.22,0.98,-0.76,0.26,0.05,
0.231,-0.13,0.22,0.98,-0.84,0.31,0.03,
0.233,-0.14,0.22,0.98,-0.84,0.31,0.03,
0.236,-0.14,0.22,0.99,-0.84,0.31,0.03,
0.236,-0.14,0.22,0.99,-0.90,0.32,-0.04,
0.239,-0.14,0.22,0.98,-0.90,0.32,-0.04,
0.241,-0.15,0.22,0.98,-0.90,0.32,-0.04,
0.241,-0.15,0.22,0.98,-0.95,0.36,-0.02,
0.243,-0.15,0.22,0.98,-0.95,0.36,-0.02,
0.246,-0.16,0.22,0.98,-0.95,0.36,-0.02,
0.246,-0.16,0.22,0.98,-1.00,0.40,-0.05,
0.252,-0.16,0.22,0.98,-1.00,0.40,-0.05,
0.252,-0.17,0.21,0.98,-1.00,0.40,-0.05,
0.252,-0.17,0.21,0.98,-1.09,0.43,-0.06,
0.253,-0.17,0.21,0.98,-1.09,0.43,-0.06,
0.257,-0.18,0.20,0.98,-1.09,0.43,-0.06,
0.258,-0.18,0.20,0.98,-1.15,0.37,-0.06,
0.258,-0.17,0.20,0.98,-1.15,0.37,-0.06,
0.261,-0.18,0.19,0.99,-1.15,0.37,-0.06,
0.262,-0.18,0.19,0.99,-1.21,0.27,-0.07,
0.265,-0.18,0.18,0.99,-1.21,0.27,-0.07,
0.266,-0.18,0.18,0.99,-1.21,0.27,-0.07,
0.267,-0.18,0.18,0.99,-1.20,0.16,-0.03,
0.269,-0.18,0.18,0.99,-1.20,0.16,-0.03,
0.271,-0.18,0.17,1.00,-1.20,0.16,-0.03,
0.271,-0.18,0.17,1.00,-1.22,0.08,0.01,
0.272,-0.18,0.17,1.00,-1.22,0.08,0.01,
0.275,-0.18,0.17,1.01,-1.22,0.08,0.01,
0.276,-0.18,0.17,1.01,-1.21,0.02,0.05,
0.277,-0.18,0.16,1.02,-1.21,0.02,0.05,
0.282,-0.18,0.15,1.02,-1.21,0.02,0.05,
0.283,-0.18,0.15,1.02,-1.23,-0.01,0.16,
0.283,-0.18,0.15,1.02,-1.23,-0.01,0.16,
0.285,-0.18,0.14,1.03,-1.23,-0.01,0.16,
0.285,-0.18,0.14,1.03,-1.20,-0.14,0.28,
0.287,-0.17,0.14,1.04,-1.20,-0.14,0.28,
0.291,-0.17,0.14,1.05,-1.20,-0.14,0.28,
0.291,-0.17,0.14,1.05,-1.16,-0.18,0.38,
0.292,-0.16,0.13,1.06,-1.16,-0.18,0.38,
0.295,-0.16,0.13,1.07,-1.16,-0.18,0.38,
0.295,-0.16,0.13,1.07,-1.06,-0.22,0.54,
0.299,-0.16,0.13,1.07,-1.06,-0.22,0.54,
0.301,-0.16,0.12,1.08,-1.06,-0.22,0.54,
0.301,-0.16,0.12,1.08,-0.97,-0.30,0.68,
0.302,-0.16,0.12,1.09,-0.97,-0.30,0.68,
0.305,-0.16,0.11,1.09,-0.97,-0.30,0.68,
0.305,-0.16,0.11,1.09,-0.97,-0.38,0.83,
0.307,-0.16,0.11,1.10,-0.97,-0.38,0.83,
0.31,-0.15,0.11,1.10,-0.97,-0.38,0.83,
0.311,-0.15,0.11,1.10,-0.96,-0.46,0.95,
0.313,-0.16,0.10,1.11,-0.96,-0.46,0.95,
0.317,-0.16,0.10,1.11,-0.96,-0.46,0.95,
0.317,-0.16,0.10,1.11,-0.91,-0.48,1.00,
0.318,-0.17,0.10,1.11,-0.91,-0.48,1.00,
0.32,-0.17,0.10,1.12,-0.91,-0.48,1.00,
0.321,-0.17,0.10,1.12,-0.96,-0.54,1.13,
0.322,-0.16,0.10,1.12,-0.96,-0.54,1.13,
0.325,-0.17,0.10,1.11,-0.96,-0.54,1.13,
