
time,gFx,gFy,gFz,ax,ay,az,
0.002,-0.08,0.15,0.95,-0.29,-0.51,-0.13,
0.002,-0.08,0.15,0.95,-0.18,-0.36,-0.16,
0.003,-0.08,0.16,0.95,-0.18,-0.36,-0.16,
0.003,-0.08,0.16,0.95,-0.05,-0.22,-0.24,
0.003,-0.08,0.17,0.96,-0.05,-0.22,-0.24,
0.003,-0.07,0.17,0.96,-0.05,-0.22,-0.24,
0.007,-0.06,0.18,0.96,-0.05,-0.22,-0.24,
0.007,-0.06,0.18,0.96,0.04,-0.07,-0.26,
0.008,-0.05,0.18,0.96,0.04,-0.07,-0.26,
0.01,-0.04,0.19,0.97,0.04,-0.07,-0.26,
0.01,-0.04,0.19,0.97,0.14,0.02,-0.18,
0.012,-0.04,0.20,0.97,0.14,0.02,-0.18,
0.015,-0.03,0.20,0.96,0.14,0.02,-0.18,
0.015,-0.03,0.20,0.96,0.27,0.14,-0.13,
0.017,-0.03,0.20,0.97,0.27,0.14,-0.13,
0.023,-0.02,0.21,0.97,0.27,0.14,-0.13,
0.023,-0.02,0.21,0.97,0.37,0.26,-0.13,
0.023,-0.01,0.21,0.98,0.37,0.26,-0.13,
0.024,0.00,0.21,0.98,0.37,0.26,-0.13,
0.024,0.00,0.21,0.98,0.47,0.31,-0.06,
0.027,0.01,0.21,0.98,0.47,0.31,-0.06,
0.029,0.01,0.22,0.98,0.47,0.31,-0.06,
0.03,0.01,0.22,0.98,0.65,0.34,0.06,
0.032,0.02,0.22,0.99,0.65,0.34,0.06,
0.035,0.01,0.22,1.00,0.65,0.34,0.06,
0.036,0.01,0.22,1.00,0.76,0.39,0.04,
0.038,0.02,0.22,1.00,0.76,0.39,0.04,
0.039,0.02,0.22,1.00,0.76,0.39,0.04,
0.039,0.02,0.22,1.00,0.83,0.46,0.13,
0.042,0.03,0.22,1.01,0.83,0.46,0.13,
0.044,0.03,0.22,1.01,0.83,0.46,0.13,
0.044,0.03,0.22,1.01,0.88,0.45,0.19,
0.047,0.04,0.23,1.01,0.88,0.45,0.19,
0.05,0.04,0.23,1.01,0.88,0.45,0.19,
0.051,0.04,0.23,1.01,0.93,0.51,0.26,
0.052,0.03,0.23,1.02,0.93,0.51,0.26,
0.054,0.03,0.23,1.02,0.93,0.51,0.26,
0.055,0.03,0.23,1.02,1.00,0.55,0.30,
0.056,0.03,0.23,1.02,1.00,0.55,0.30,
0.059,0.02,0.22,1.02,1.00,0.55,0.30,
0.059,0.02,0.22,1.02,0.91,0.55,0.38,
0.062,0.02,0.22,1.02,0.91,0.55,0.38,
0.063,0.01,0.22,1.03,0.91,0.55,0.38,
0.064,0.01,0.22,1.03,0.87,0.54,0.37,
0.067,0.01,0.21,1.02,0.87,0.54,0.37,
0.069,-0.00,0.20,1.02,0.87,0.54,0.37,
0.069,-0.00,0.20,1.02,0.79,0.49,0.42,
0.071,-0.01,0.19,1.02,0.79,0.49,0.42,
0.073,-0.03,0.18,1.01,0.79,0.49,0.42,
0.074,-0.03,0.18,1.01,0.67,0.37,0.36,
0.076,-0.04,0.17,1.01,0.67,0.37,0.36,
0.079,-0.05,0.16,1.00,0.67,0.37,0.36,
0.079,-0.05,0.16,1.00,0.45,0.21,0.32,
0.081,-0.06,0.16,1.00,0.45,0.21,0.32,
0.084,-0.08,0.16,1.00,0.45,0.21,0.32,
0.084,-0.08,0.16,1.00,0.23,0.05,0.21,
0.088,-0.09,0.15,1.00,0.23,0.05,0.21,
0.089,-0.09,0.14,0.99,0.23,0.05,0.21,
0.089,-0.09,0.14,0.99,-0.02,-0.05,0.15,
0.091,-0.11,0.14,1.00,-0.02,-0.05,0.15,
0.093,-0.11,0.14,1.00,-0.02,-0.05,0.15,
0.094,-0.11,0.14,1.00,-0.23,-0.14,0.12,
0.096,-0.12,0.14,0.99,-0.23,-0.14,0.12,
0.099,-0.12,0.13,0.99,-0.23,-0.14,0.12,
0.099,-0.12,0.13,0.99,-0.41,-0.24,0.14,
0.101,-0.13,0.13,0.99,-0.41,-0.24,0.14,
0.108,-0.13,0.13,1.00,-0.41,-0.24,0.14,
0.109,-0.13,0.13,1.00,-0.51,-0.26,0.07,
0.109,-0.13,0.13,0.99,-0.51,-0.26,0.07,
0.109,-0.13,0.12,1.00,-0.51,-0.26,0.07,
0.11,-0.13,0.12,1.00,-0.60,-0.31,0.10,
0.111,-0.13,0.12,1.00,-0.60,-0.31,0.10,
0.113,-0.13,0.12,1.00,-0.59,-0.34,0.09,
0.114,-0.12,0.12,1.00,-0.59,-0.34,0.09,
0.116,-0.12,0.12,1.00,-0.59,-0.34,0.09,
0.119,-0.11,0.13,1.00,-0.59,-0.34,0.09,
0.119,-0.11,0.13,1.00,-0.58,-0.35,0.16,
0.121,-0.11,0.12,1.00,-0.58,-0.35,0.16,
0.123,-0.11,0.13,1.00,-0.58,-0.35,0.16,
0.123,-0.11,0.13,1.00,-0.48,-0.32,0.14,
0.126,-0.10,0.13,0.99,-0.48,-0.32,0.14,
0.128,-0.10,0.13,0.99,-0.48,-0.32,0.14,
0.128,-0.10,0.13,0.99,-0.42,-0.32,0.14,
0.13,-0.10,0.14,0.99,-0.42,-0.32,0.14,
0.133,-0.09,0.14,0.99,-0.42,-0.32,0.14,
0.133,-0.09,0.14,0.99,-0.35,-0.24,0.05,
0.135,-0.08,0.15,0.98,-0.35,-0.24,0.05,
0.139,-0.09,0.15,0.98,-0.35,-0.24,0.05,
0.139,-0.09,0.15,0.98,-0.31,-0.19,0.03,
0.14,-0.09,0.15,0.99,-0.31,-0.19,0.03,
0.143,-0.08,0.16,0.99,-0.31,-0.19,0.03,
0.143,-0.08,0.16,0.99,-0.19,-0.11,-0.03,
0.145,-0.08,0.17,0.99,-0.19,-0.11,-0.03,
0.147,-0.08,0.17,0.98,-0.19,-0.11,-0.03,
